processed,Code
estancamiento pondoestatural,78341
bacteriemia cvc,T80211A
estancamiento ponderal,78341
hemicolectomia,Z9049
pp,O6014X0
vaso vagales,R55
sd. piramidal izquierdo,G5702
40 +2 semanas,Z3A40
fpp,O621
neoplasia prostatica,C61
malas condiciones obstetricas,65681
vessament pleural dret,J90
hernia de hiato,5533
monocorial biamniotica,O30033
histerectomia total,0UT90ZZ
ha tuberculosis,Z8611
hipertiroidismo part,E0590
cistitis,N3090
politraumatismo,T07XXXA
desgarro iii grado,O702
historia de sars-cov-2,Z8616
hernia discal c4-c5,M50221
hernia umbilical,K429
obesidad 2t,O99212
utero miomatoso part,D259
portadora de peg,V441
ecografia abdomen,8876
colestasis parto,K831
historia parto prematuridad,O09213
leucemia aguda linfoblastica,20400
leve deterioro de la funcion renal,N179
dolor toracico,R079
otra,E8788
grupo sanguineo: o +,Z6740
radiografia femur der,BQ03ZZZ
acne,7061
limfadenectomia pelvica,4053
fibrilacion auricular cronica,I482
utero miomatoso,D259
z8739,Z8739
puncion folicuar,Z3183
cancer pancreas,C259
k57.32,K5732
protesis mamaria,V4382
quiste anexiales bilateral,N83202
grupo sanguineo:0 rh positivo,Z6740
diabetes mellitus tipo 2 part,O2412
ecoabdominal,BW40ZZZ
artritis reumatoide parto,O9989
app,O6003
prostatitis cronica,N411
enfisema pulmonar centroacinar,J432
septicemia puerperal,O85
esterilizacion,Z302
adherencias peritoneales,5680
escoliosis parto,73730
antibioterapia,3E03329
fecaloma,K5641
40 semanas,Z3A40
gsrh: a positivo,Z6710
les con afectacion articular,7137
parto,O80
otra,E8788
grupo sanguineo materno a+,Z6710
antibioticos,3E03329
parto,650
desgarro grado iiia,0DQR0ZZ
desgarro perineal iiia,0DQR0ZZ
41 +3 semanas,Z3A41
condromalacia,73392
diabetes gestacional con insulina,O24424
insuficiencia renal aguda,N179
sindrome seca,M3500
ecografia obst,8878
ansiedad part,F429
desnutricion grave,E43
neoplasia de mama bilateral,1749
hiperparatiroidismo primario,E210
fibroadenoma juvenil,90300
podalica,66001
nutricion enteral sng,0DH67UZ
ulcera sacra grado iv,L89154
hipotiroidismo (,2449
carcinoma seroso papilar,84603
tc craneo,B020ZZZ
"grupo sanguineo materno:0 , rh:+",Z6740
desgarro i (,O700
asimetria mamaria,61189
angio-tc toracic,BW24Y0Z
hernia incisional incarcerada,K430
grupo sanguineo: 0 negativo,Z6741
linfadenectomia axilar izquierda,07T60ZZ
tomografia axial computarizada orbita,BN23ZZZ
peritoneales,C786
trombocitosi essencial,D473
hipertension,I10
distonia,G249
hiperlipemia part,E785
edema palpebral,37482
incontinencia,R159
radiografia de abdomen,BW00ZZZ
expansor mamario bilateral,0HHV0NZ
hipertension,I10
pfc,30233L1
urbason,9923
gastrografin,3E0G7KZ
version cefalica externa,10S0XZZ
abuela cancer mama,V163
obesidad part,D696
sangrado menstrual abundante,N920
lipoma intramuscular,88560
adenoidectomiaamigdalotomia,283
vph part,B977
ile por trisomia,Z332
t adaptativo,F4320
bypass gastrico lap,4438
valvuloplastia aortica,3596
carcinoma mucinoso,84803
profilactica ovario,V5042
suero glucosado,3E0337Z
osteoartritis,M1990
pseudomona,0417
tabaquismo,F17210
pancreatitis aguda,5770
amniorexis,10907ZC
trombopenia parto,D696
antibioticoterapia,3E03329
adenomas hipofisis,82720
legrado uterino evacuador,10D17ZZ
hipereosinofilia,2883
metastasis cutanea,C792
uretero-hidronefrosis derecha,N1330
polhidramnios,65701
ecografia obstetrica,8878
cancer mama masculina,1759
dermatitis atopica parto,O9972
rubeola no inmune,D696
hipotir parto,E039
leiomiomas submucosos,D250
miocardiopatia hipertensiva insuficiencia cardiaca congestiva,40291
: a negativo,Z6711
hipertension arterial insuficiencia renal cronica 6 insuficiencia cardiaca congestiva,I509
colestasis part,K831
salpinguectomia derecha laparoscopica,0UT54ZZ
obesidad morbida parto,O99214
claudicacion intermitente,I739
gastrectomia vertical laparoscopica,4382
gonartrosis bilateral,M170
j21.0,J210
r13.10,R1310
nefropatia diabetica,25040
quiste dermoide,90840
dttb,2001
diabetes mellitus tipo 2,E119
40+2 sem,Z3A40
desgarro 4 grado,0DQP0ZZ
alergica al nolotil,Z886
gsrh:o+,Z6740
anemia ferropenica parto,D509
gemelar bicorial-biamniotica,O30043
cataratas bilateras,3669
neoplasia. de ovario,1830
cin 2,62212
protesis,8553
doble anexectomia,6561
folicular ovario,6200
miositis,M609
interrupcion legal del embarazo,63590
anemia secundaria a hipermenorrea,D500
adenoidectomia.amigdalectomia,283
alfa talassemia,28243
hipertension arterial gestacion parto,64231
obesidad part,27800
electroencefalograma,4A10X4Z
corticosteroides,V5865
analgesico,3E033NZ
hh,K449
presentacion transversa,O322XX0
linfadenectomia paraortica,4052
hiperemesis gravidica,O210
s. pneumoniae,B953
recambio de expansor mamario,V524
alergia a la codeina,V146
depresion part,O99344
hemoperitoneo,K661
trastorno depresivo cronico,F329
hipertension arterial insuficiencia renal cronica 2,I129
vaginitis parto,N760
tomografia axial computarizada craneal,8703
sondaje gastrico,3E0G76Z
tc arterias pulmonares,B32S1ZZ
dolor pelvico cronico,R102
lavados vesicales continuos,3E1K78Z
alzheimer 2,29410
fibromialgia parto,M797
faco+lio od,08RJ3JZ
anti d,O360130
anemia 3t,O99013
vasculitis leucocitoclastica,M310
shock hipovolemico qx,99809
vph part,O9852
radiografia de craneo,BN00ZZZ
desgarro vulva,O700
plaquetopenia,D691
sinusitis parto,J329
gammapatia monoclonal,D472
sutura desgarro i grado,0WQNXZZ
puerperio,Z390
hipertension arterial insuficiencia renal cronica anteparto,64213
heparina,Z7901
insuficiencia respiratoria cronica agudo,51884
amoxicilina-clavulanico,3E03329
citarabina,9925
celiaca parto,O9962
fumadora part,O99334
fracaso renal agudo,N179
mastectomia simple,8541
virus zika,0663
ltb laparoscopica,0UL74ZZ
rectoscopia,4823
historia de quemadura,Z87828
rotura de membranas,O4202
esclerodermia,M349
gastroenteritis aguda,K529
deshidratacio hipertonica,27651
sindrome del manguito de los rotadores,M75100
uretrocele,N810
mioma intramural parto,D251
paaf higado,5011
canalizacion de vena umbilical,06H033T
sindrome de ojo seco,H04121
factor v de leiden parto,O9912
hipermenorrees,6262
rubeola no inmune,Z228
linfadenectomia paraaortica,4052
hernia inguinal bilateral,K4020
misoprostol abortp,10A07ZX
cocaina ocasional,F1490
infeccion del tracto urinario,N390
dolicocolon,7515
insuficiencia respiratoria aguda,51881
mioma intramural,D251
vertigo,R42
hemorragia post parto,O721
alergia polen,Z91048
hipotiroididsmo part,E039
enterococo,B955
artrosis,M1990
anemia parto,O9902
part 41,64511
colecistectomia laparoscopica,0FT44ZZ
drepanocitosis,28260
preeclampsia puerperal,O1405
tomografia axial computarizada torax-abdomen-pelvis,BW25ZZZ
terapia vac,2W13X7Z
k08.89,K0889
canalizacion de via periferica,3893
traumatismo craneoencefalico leve,S060X0A
hiperplasia benigna de prostata,60020
endometriosis ovarica,N801
biopsias de peritoneo,0DBW0ZX
piometra,N710
osea,C7951
golpe deporte,E9170
feto grande para edad gestacional,O3663X0
neurobehcet,M352
lal,20400
rafi mandibular,7676
diabetes gestacional,O24429
anemia ferropenica,2809
prostatectomia radical,0VT30ZZ
foramen oval,Q211
proctitis ulcerosa,5562
hiperplasia prostatica benigna,N400
gastroparesia,5363
alergia diclofenaco,Z888
leishmaniosi visceral,B550
quiste anexial derecho,N83201
cancer de mama derecha,C50911
balon de cook,0U7C7ZZ
obesitat,E669
listesis lumbar,M4316
anexectomia izquierda por laparoscopia,0UT14ZZ
hipertension insuficiencia renal cronica,N189
gs: o positivo,Z6740
tabaco part,F17210
kawasaki,M303
fractura h,V1551
tc abdominopelvico tras la administracion de civ,BW211ZZ
linfadenectomia pelvica,4053
anemia posparto,2851
plaquetes,30233R1
rubeola: no inmune,Z228
metrorragia,6266
pelvis congelada,N9489
cin,80772
cordon corto part,O693XX0
hemorroides int,K648
histerectomia,0UT90ZZ
alergica a:aas,Z886
marihuana parto,F1210
miomas subseroso parto,O3413
vejiga neurogena,N319
hipertension arterial,4019
nefrectomia radical lap,0TT74ZZ
extrasistoles ventriculares,I493
cefalea migranosa,34690
corticoides,3E0333Z
ecografia toracica,8873
o2,V462
64631,O2623
prematuridad,64421
dorsalgia,7245
ecografia abdomen,BW40ZZZ
herpes genital part,O9832
proctitis,56949
hipoacusia parto,O9989
ex- fumadora,Z87891
fiebre,78060
hipotiroidismo 2t,O99282
rcfi humero,7911
anexectomia,Z90722
neuralgia trigeminal,G500
esclerosis multiple parto,O99354
carcinoma pulmonar,1629
rdt,Z923
ambliopia oi,H53002
midazolam,3E033NZ
linfadenectomia paraortica,07BD4ZZ
flemon periamigdalino izquierdo,J36
vomitos,R1110
quiste hemorragico ovario izquierdo,N83202
insufuciencia mitral y aortica,3963
aplasia,28489
registro cardiotocografico no tranquilizador,O76
dislipemia parto,E785
parto 41,O480
traqueotomia,V440
prolapso de cupula vaginal,N993
sars- cov2 negativo,Z20828
infeccion tracto urinario part,O23593
hipotiroidismo part,O99284
insuficiencia respiratoria aguda recien nacido,P285
esclerosis multiple,G35
grupo sanguineo: 0 rh +,Z6740
hipertension insufiencia renal cronica estadio 3,I129
"alergias: aines,",Z886
ureterohidronefrosis,N132
cordon largo,O6989X0
ansiedad-depresion,F418
esofagitis per reflux,53011
hipotiroidismo madre recien nacido,P0089
ligadura tubarica,V252
mmc postoperatoria,3E0K805
glucogenosis,2710
induccion medica,3E033VJ
gs: b +,Z6720
linfadenectomia aortica,4052
sangrado postamigdalectomia,J95830
omentectomia,544
obesidad exogena,E6609
cin-i,N870
hiperplasia benigna prostata,60020
emfisema,J439
erc hipertension arterial,N189
v271,Z371
endometriosis parto,O9989
hipertension puerperal,O165
laceracion paraclitoriana,O700
b negativo,Z6721
neoplasia de prostata,C61
hidrocefalia obstructiva,G911
obstruccion bronquial,J9809
pediculosis,B852
al.lergies aas,Z886
ecodoppler msd,B54MZZZ
adenocarcinoma endometrioide,C541
ulcus duodenal intervenido,V1271
turbinoplastia,J343
diabetes getsacional parto,O24420
anemia postpart,64822
catarro de vias altas,J00
hiperpotasemia,E875
dislipemia familiar,2724
progresion pulmonar,1970
protesis valvula aortica,V433
doble salpinguectomia,0UT70ZZ
hemorragia posparto,O721
lugar,Y929
fumadora 3t,O99333
morfina,3E033NZ
reseccion intestino,V4572
ile) por trisomia 21,O351XX0
insuficiencia mitral parto,I341
absceso anal,K610
hidrocefalia,3314
legrado obstetrico,6902
hipotiroidismo part,F329
plasma,9907
ex-enolico,30393
infeccion tracto urinario por e. coli,B9620
rabdomiolisis,72888
diabetes mellitus tipo 1,E109
gs b+ (,Z6720
mastectomia radical izda,0HTU0ZZ
ruptura material osteosintesis,99640
"grupo sanguineo, a rh positivo",Z6710
adherencias intestinal,5680
serumterapia,3E0337Z
caida,W19XXXA
infeccion tracto urinario 3t,N390
avortament,O039
sindrome del tunel carpiano,G5600
lumbociatica,M5440
sindrome ansioso/depresivo parto,F418
neoplasia maligna sol de la boca,1449
ecografia de abdomen,BW40ZZZ
marcapasos,Z950
alergias medicamentosas: aas,Z886
legrado puerperal,10D17ZZ
correccio de paladar fes,2762
laparoscopica asistida por robot,8E0W4CZ
39+2 semanas,Z3A39
colon irritable,K589
ventilacion mecanica no invasiva,9390
preclampsia,O1494
parto prematuro,O6014X0
vaginits parto,O23593
carcinoma de cervix,1809
e.coli,B9620
ertapenem,3E03329
v10.51,Z8551
19 sema,Z3A19
anemia neonatal,P614
extrasistoles,I4949
protesis mamaria,Z9882
asma,49390
obesidad parto,Z6830
anexectomia derecha,6549
leucocitosis recien nacido,P618
radiografia de abdomen,BW00ZZZ
imc 31,Z6831
artritis reumatoide parto,M069
candidiasis vaginal parto,B373
10 sem,Z3A10
ansioso depresivo,F418
hipertension arterial insuficiencia renal cronica,N189
ansioso-depresivo,3004
alergia a metamizol,V146
eritema nodoso parto,L52
kjelland,10S07ZZ
parestesias,R202
sonda nasogastrica,9607
tomografia axial computarizada abdominal,BW20ZZZ
anexectomia izquierda lap,0UT64ZZ
anexectomia derecha lap,0UT04ZZ
dolor abdominal no especificat,R109
obesidad morbida parto,27803
tc abdomino pelvico,BW21ZZZ
bocio multinodular,E042
angor,4139
inr elevado,R791
insuficiencia venosa superficial,I872
circular,O6981X0
alergia a amoxicilina,V140
prematuridad 750,P0703
insuficiencia mitral severa,I340
radiografia de rodilla,8827
sindrome astenico,78079
colitis ulcerosa,5569
coxartrosis izquierda,M1612
hemorroides internas,4552
hematuria,59970
vomits,R1110
tumorectomia mama derecha,0HBT0ZZ
cateter,3893
temblor esencial,G250
ligadura tubarica,Z9851
colelitiasis anteparto,64893
asma parto,J8410
imc: 38.,Z6838
episiotomia,736
fractura olecranon derecho,S52021A
sinusitis aguda,4619
ooforectomia izquierda laparoscopica,0UT14ZZ
staphylococcus aureus,04111
carcinoma ductal infiltrante de mama derecha,C50911
grupo sanguineo: a rh; positivo,Z6710
recien nacido,V270
hipertension arterial insuficiencia renal cronica 3,N183
v26.89,Z3189
anemia part,O9902
protesis mamaria,V4382
o pos,Z6740
utero polimiomatoso,D259
macrosomia fetal,O3663X0
pna 2t,O2302
hepatitis b,Z2251
anemia anteparto,64823
oh,30501
o negativo,Z6741
epilepsia convulsiva generalitzada,34510
historia cancer vesical,Z8551
ht,6849
glioblastoma temporo-occipital izquierdo,C718
herpes genital parto,05410
38 w,Z3A38
sgb 2,64891
alergia acaros,Z91038
bi/bi,V9103
shock qx,99809
tomografia axial computarizada abdominal,8801
sgb +,64891
sindrome ansioso-depresivo parto,O99344
plaquetopenia parto,D696
nutricion enteral sng,3E0G76Z
liquido pleural,3491
grupo sanguineo: b negtivo,Z6721
colelitiasis,K8020
33+1 semanas,Z3A33
ab rh positivo,Z6730
ecografia abdominal,8876
rotavirus,A080
electrocardiograma,4A02X4Z
problemas sociofamiliar,Z639
preeclampsia,O1493
linfoma burkit,20020
liquido pleural,0W993ZZ
obeso,27800
fracturas vertebrales,73313
alergica a polen,Z91048
alteracion de la marcha,R2689
alergia penicilina,V140
radiografia torax,BW03ZZZ
enfermedad inflamatoria pelvica,N739
protesis rodilla izquierda,Z96652
ca. epidermoide de cervix,C539
anexectomia izquierda por laparoscopia,0UT64ZZ
41 +2 sg,Z3A41
lesion vesical accidental,9982
colestasis parto,5768
sindrome de west,G40822
rotura del supraespinoso hombro derecho,M75101
grupo b+,Z6720
historia de caidas,Z9181
esclerosis multiple parto,O99354
malabsorcion intestinal,5799
nefropatia diabetes mellitus,58381
alergia gramineas,Z91048
vommitos,R1110
hipertrofia prostatica,N400
k40.31,K4031
contusiones pulmonares bilateral,S27322A
angio tomografia axial computarizada toracico,BW24Y0Z
liquido meconial,O770
miomas intramurales parto,D251
fatiga cronica,R5382
infeccio respiratoria de vies altes,J069
ooforectomia,V4577
vagintis parto,O23593
linfoma difuso de celulas grandes b,96803
hemorragia post-parto,O721
mamoplastia de aumento,Z9882
absceso pulmonar,5130
biopsia colon,0DBE8ZX
sindrome polimalformativo,Q897
dolor toracico cronico,R0789
forceps,10D07Z3
dilatacion esofagica,0D758ZZ
sangrado puerperio,O721
otitis media aguda,H6690
enf parto,64891
espondilolistesis l5-s1.-,M4317
resonancia magnetica craneo,8891
sindrome apnea hipopnea sueno grave,32723
preeclampsia recien nacido,P000
laceracion parauretral,O7182
antibiotic,3E03329
epilepsia parto,O99354
cirugia protesis,Y831
hipotiroidismo part,O99285
atb,9921
endometrioma ovario,N801
coledocolitiasis,K8050
historia de neoplasia de mama,Z853
colicos nefriticos historia,V1309
grupo sanguineo materno 0+,Z6740
mioma parto,D259
", se extrae coagulo",10D17Z9
anti-d.,O360130
prolapse uterovaginal,N814
gammapatia monoclonal,2731
esterilizacion,Z302
migranosas,G43909
alergia polen,Z91048
osteopenia,73390
bajo peso para edad gestacional 1000,P0504
cancer,80103
adhesiolisis pelvicas lap,6581
historia fractura,Z8781
enfermedad renal cronica terminal,N186
deficit de atencion,R41840
alergia alimento,Z91018
ecg,4A02X4Z
alergias: melocoton,Z91018
hipertension arterial erc grado 5,N185
trastorno del sueno,78050
hipotiroidismo 3t,D649
historia de sars cov2,Z8616
febricular,R509
ataxia,R270
infeccion de herida quirurgica,T8140XA
alergica a: gramineas,Z91048
sangrado postconizacion,N99820
tr adaptativo con sintomatologia depresiva,F4321
hipertrofia amigdalar adenoidea,47410
rinones con quistes,N281
anexectomia izquierda,0UT60ZZ
g40.319,G40319
quiste pilonidal,0JB90ZZ
eccema cronico,L309
colesteatoma derecho,H7191
obesidad morbida parto,E6601
laringotraqueoscopia,3142
meningioma,D320
mcd,I420
sindrome metabolico parto,O9912
rinoconjuntivitis,J3089
hipertension arterial gestacional,O133
recien nacida,Z370
alergia niquel,Z91048
conizacion parto,O3429
290.3,F05
diu,Z975
induccion medica,3E033VJ
colon irritable parto,O9912
prostatectomia,V4577
polihidramnis,O403XX0
neumonia radica,5080
hipercolesterolemia parto,2720
hipoestesia,7820
dtt bilateral,099600Z
ecografia ginecologica,8879
alergias: sulfamidas,Z882
asma parto,O9952
meniscopatia interna genoll dret,0SBC4ZZ
a negativos,Z6711
esterilizacion,Z302
trombocitosi,23871
app,64403
insuficiencia renal cronica,5859
gestacion gemelar bicorial biamniotica,O30043
celiaca,5790
hallux valgus pie izquierdo,M2012
cefalea postpuncion,G971
tot,5979
eritema nodoso parto,O9972
raynaud,4430
cesaria,10D00Z1
aspergilosis broncopulmonar alergica,5186
angiotc toracico,B32TZZZ
fecaloma,K5641
histerectomia,Z90710
linfadenectomia para-aortica,07TD0ZZ
no progresion de parto,O621
raynaud,I7300
luxacion acromiocalvicular izquierda,S43102A
hipertension arterial insuficiencia renal cronica 4,N184
diabetica nefropatia,25040
vasculitis leucocitoclastica,M310
bacteriemia,R7881
colostomia,V443
sleeve gastrico,Z9884
obstruccio intestina,5609
endometritis cronica,N711
2 cchh,30233N1
colecistectomia laparoscopica,5123
fumadora part,F17210
historia cancer cervix,V1041
deficit de factor vii,2863
fiebre 2,78061
geg,O3663X0
covid parto,U071
sindrome de gilbert part,O99284
hipotiroidismo quirurgicas parto,O99284
sag positivo,O99824
gran extraccion,10D07Z8
linfadenectomia paraortica,4052
pneumonia pneumococcica,J13
anemia ferropenica anteparto,64823
rubeola no inmune,Z228
ulcera peu,70715
bsgc derecho,0UT70ZZ
al#lergica al nolotil,V146
hipertension arterial cronica,4019
cchh,9904
emesis gravidica,O210
re+,V861
cirugia endoscopica nasosinusal 2,2219
hipogammaglobulinemia,27900
rotura prematura membranas,O4292
hellp,O1424
neoplasia vesical,C679
colicos nefriticos de repeticion,Z87448
torsion testicular derecha,N4400
rtu,V4574
cifosis dorsal,M40294
metilprednisolona,3E0333Z
gsrh:o positivo,Z6740
alergia a ibuprofeno,V146
hipotirodismo,E039
pectum excavatum,Q676
podalica 2,66001
antibiotico,9921
otoscopia,1811
analgesico,9929
estenosis coana,Q300
absceso de mama derecha,N611
imc 42,Z6841
esferocitosis hereditaria,2820
"neoplasia maligna, ronyo esquerre",C642
23 semanas,Z3A23
encefalopatia congenita,7428
tabaco parto,F17210
hipercolesterolemia,2720
ligadura tubarica,V252
alergica a diclofenaco,Z886
neoplasia recto-sigma,C19
rinitis vasomotora,J300
hipertension arterial insuficiencia cardiaca congestiva insuficiencia renal cronica,I130
sop parto,E7800
amenaza de parto prematuro,O6003
alergia polen,Z91048
historia de qt,Z9221
hipoalbuminemia,E8809
: 0 negativo,Z6741
grupo sanguineo: b+,Z6720
hipertension arterial insuficiencia renal cronica,40390
hiperlipemia part,E785
anexectomia izquierda laparoscopica,0UT64ZZ
asbestosis,501
re +++/+++,Z170
artroplastia total de rodilla derecha,0SRC0J9
pseudomixoma peritoneal,C786
hipertension arterial erc 3,N1830
pielonefritis aguda recien nacido,P393
cesareas previas,O34211
prostatectomia radical laparoscopica,0VT34ZZ
hernia de hiatus,5533
anemizacion,D62
ambliopia od,H53001
tsv,I471
prostanglandinas,3E0P7VZ
gastritis cronica atrofica,K2940
: o neg,Z6741
candidiasis vaginal 3t,O98813
neumonia basal derecha,J189
ecografia,BY4FZZZ
dinamica uterina,O622
hemofilia,D66
transplantat pulmonar,Z942
tc de craneo,8703
gentamicina,9921
hipotiroidismo part,E063
ecografia toracica,BB4BZZZ
asherman,N856
mioma uterino,D259
shock hipovolemico,R571
otro,E8498
mioma subseroso parto,O3413
sobrepeso,E663
alzheimer,F0280
gota,M109
metaplasia gastrica,K3189
fibroadenoma juvenil,90300
anemia ferropenica part,O9902
diabetes gestacional antepart,64883
asma,49390
vm 2,5A1955Z
imc 50,V8543
rotura prematura de membranas 1,O4202
neonatos,Z370
dilsipemia,2724
cefalea tensional episodica,G44219
anginas,4139
deterioro cognitvo,F09
aborto septico,O034
portadora de marcapasos,Z950
paniculitis mesenterica,K654
lesion gastrica,5379
lavados peritoneal,5425
ehe anteparto,64233
hernia epigastrica,K439
antibioterapico,3E03329
asma part,49390
anexectomia bilateral laparoscopica,0UT74ZZ
control puerpera,V240
peritonectomia,0DBW0ZZ
insuficiencia mitral parto,O9942
alergia augmentine,V141
dialisis,5A1D70Z
dmii,25000
trastorno negativista desafiante,F913
antibioterapia,9921
histerectomia abdominal radical,0UT70ZZ
implante coclear,Z9621
esofagitis eosinofilica,K200
hematies,2851
barrera idiomatica,Z603
meniscectomia izquierda,0SBD4ZZ
retirada de doble j,V536
dislipidemia mixta,E782
grupo sanguineo materno a rh positivo,Z6710
psoriasis part,O9972
utero bicorne parto,65401
misoprostol aborto,10A07ZX
quiste branquial,0JB40ZZ
rotura de membranas prematuro,O42913
radiografia tobillo,8828
gsrh: o positivo,Z6740
papiloma intracanalicular mama izquierda,D242
cesareas anteriores,O34211
deficit b12,E538
trombosis portal,I81
prostatectomia radical,8E0W0CZ
621.9,N859
diverticulos colonica,K5730
cancer de mama izquierda,1749
artrosis generalizada,71509
doble lesion aortica,I352
antibioticoterapia,9921
cateter doble j derecho,0T9680Z
re -,Z170
malnutricio,2639
lasceraciones en labios,0UQMXZZ
hepatitis c parto,O9842
obesitat part,O99214
talassemia minor parto,O9902
biopsia de ganglio,4011
venoclisis,3893
metastasis hepaticas,C787
limfocele,4578
trichomonas vaginales,A5901
leiomioma uterino,D259
recambio valvular,Z952
retard ponderal,R6251
"grupo sanguineo: 0, rh: +",Z6740
diabetes gestacional insulina,O24424
cirrosis hepatica alcoholica,5712
arteriopatia periferica,I739
lumbago,7242
preeclampsia grave,O1414
epilepsia,G40909
imc 46,V8542
anorexia nerviosa parto,64841
ulcus gastroduodenal,K269
insuf mitral,4240
fiebre post quirurgica,78062
ht pulmonar,I2720
sindrome de lynch,Z1509
anexectomia bilateral,0UT70ZZ
retinopatia diabetes mellitus 1,E103299
teratoma ovario izquierdo,D271
quistes parapielicos renales,5932
infecc resp,5198
pubertad precoz,E301
enfisematoso,J439
vomitos,R1110
deficit vit d part,O99284
hiperglucemias,R739
cerclaje cervical,6759
sopq,E282
ingreso social,Z763
malformacion cerebral,74781
neoplasia endometrial,C541
rge,K219
erc,N189
tomografia axial computarizada craneal,B020ZZZ
rectocele,0JQC0ZZ
ecografia de troncos supraorticos,B341ZZZ
fpies,K5221
paralisi cerebral no especificada,G809
geu sangrado,6391
bronconeumonia,485
e. coli,B9620
vasa previa,O694XX0
protesis mamaria,8553
lipoma lumbar,D171
vomits,R1110
chron,5559
fractura cubit esquerre,S52202A
shock septico,R6521
protesis mamarias,V4382
enfermedad de von willebrand parto,64931
alergia a la penicilina,V140
g40.909,G40909
prolapso rectal,K623
colelitiasis,57420
nounat,Z370
extraccion manual placenta,10D17Z9
rubeola negativa,Z228
desgarro perineal iiia,0DQR0ZZ
grupo sanguineo materno: 0 rh: positivo,Z6740
doble anexectomia lap,0UT74ZZ
endoprotesis aortica,Z95828
: a pos (,Z6710
hipoacusia de transmision,H900
cefalea vascular,G441
angiomiolipoma renal,2230
reside sola,Z602
quiste paratubarico,6208
anemia ferropenica parto,64821
recien nacido,V270
cancer cervix,C539
ooforectomia izquierda,Z90721
recien nacido,V270
criptorquidia,Q5310
ecografia abdominal,BW40ZZZ
adenoamigdalectomia,0CTPXZZ
tiroiditis autoinmune,E063
enolismo cronico,F1020
marcapasos,Z950
sueroterapia,3E0337Z
diabetes gestacional a1,O24420
grupo sanguineo: a+ (,Z6710
vive en residencia,Z593
epilepsia focal,G40109
historia de cancer de mama,Z853
carcinomatosis peritoneal,C786
pielonefritis,N10
sindrome metabolico,E8881
sindrome depresivo,311
flutter auricular,I4892
grupo: 0 positivo,Z6740
hemorrragia posparto,O721
790.7,R7881
traumatismo craneoencefalico,8500
grupo o+,Z6740
scarf pie derecho,0QSN0ZZ
cavernoma,91210
urticara cronica parto,L508
aislamiento,9984
ecografia snc,B040ZZZ
leucocitosis,28860
itus frecuentes,V1302
sindrome apnea hipopnea sueno,32723
toc parto,F429
bacteriemia por e. coli,B9620
cistitis aguda,5950
sinusitis esfenoidal cronica,J323
litiasis ureter izquierdo,0TC78ZZ
neoplasia mucinoso,84803
cistectomia radical laparoscopica,07TC4ZZ
convulsio febril,R5600
dislipidemia,E785
oxigen domiciliario,V462
ecg,8952
desgarro tipo i,66401
obesidad morbida part,O99214
rinitis,J310
columpio,E8494
histerectomia total lap,6841
tdah,31401
alcohol,F1010
forceps,724
bav completo,I442
infeccion tracto urinario parto,64661
tomografia axial computarizada abdomino pelvico,BW21ZZZ
obesitat,E669
dolor cronic,G8929
expansor mama derecha,0HHT0NZ
trombocitosis esencial,D473
tiroiditis parto,L52
hiporexia,R630
portador de marcapasos,Z950
adherencias,5680
alergico a la penicilina,V140
"desgarro i,",O700
caida,E8889
gonartrosis,71536
ha cancer mama,V103
"40,2 setmanes",Z3A40
pielonefritis aguda por e .coli,N10
histerectomia total,0UT90ZZ
nefrectomia,Z905
tot,5979
henria inguinal izquierda,K4090
reflujo gastroesofagico part,K219
polipos endometriales,0UB98ZZ
hematuria macroscopica,R310
monocorial / biamniotica,O30033
cefalea puncion dural,O745
angiotc toracico,B32SZZZ
quiste simple paratubarico,N838
biopsia esofago distal,0DB38ZX
arteriografia abdomen,8847
rubeola no inmune,O9852
ductus,Q250
36+2 semanas,Z3A36
vac,F08L5BZ
deteriorament cognitiu lleu,G3184
anticoagulante,3E033GC
zika + parto,64781
fissura palatina,74900
biopsia piel abdomen,0HB7XZX
colocacion de port-a-cath,8607
tc abdominopelvico con civ.,BW211ZZ
rtu vesical lap,0TBB4ZZ
neoplasia maligna de endometrio,C541
otitis media serosa,3814
anemia part,O9902
tetraparesia espastica-distonica,G800
salpinguectomia izquierda,664
cuerpo extrano esofagico,0DC58ZZ
re +,V860
annexectomia,V4577
rciu,O365930
hipotiroidismo,E039
convulsion,R569
faringoscopia,2911
celiaquia part,K900
tc toracico,8741
abuso de alcohol,F1010
port-a-cath,8607
exeresis caruncula uretral,0TBD8ZZ
anemia normocitica,2859
rinitis alergica part,J309
colocacion de cateter doble j,598
amniorrexis artificial,10908ZC
obesidad parto,Z6711
polipo endometrio,0UB98ZZ
talasemia part,D569
sars-cov2 negativo,Z20822
alergia aines,Z888
hemoglobinopatia parto,D582
deficit proteina c parto,O9912
quiste tirogloso,Q892
laringitis aguda,J040
hipomagnesemia,E8342
diverticulosis sigmoidea.,K5730
epilepsia refractaria,G40909
ecografia ginecologica,8879
hiperuricemia,7906
34+0 semanas,Z3A34
anemia ferropenica parto,D509
hipertension gestacional anteparto,64233
vertigo,3869
gastroenteritisaguda,5589
febril postparto,O864
estenosis l4-l5,M48061
doble salpinguectomia,6651
urticaria cronica autoinmune,L508
rafi cubito izquierdo,0PSL04Z
enf puerperal,O9089
gammagrafia pulmonar,CB121ZZ
bronquiolitis aguda vrs recien nacido,P2889
hernia hiatal,5533
