Code,Literal
7137,LES con afectación articular
O80,Parto
E8788,otra
Z6710,Grupo sanguíneo materno A+
3E03329,antibioticos
650,Parto
0DQR0ZZ,desgarro grado IIIA
0DQR0ZZ,Desgarro perineal IIIA
Z3A41,41 +3 semanas
73392,condromalacia
O24424,diabetes gestacional con insulina
N179,INSUFICIENCIA RENAL AGUDA
M3500,SÍNDROME SECA
8878,ecografía obst
F429,ansiedad part
E43,desnutrición grave
1749,neoplasia de mama bilateral
E210,HIPERPARATIROIDIsMO PRIMARIO
90300,Fibroadenoma juvenil
66001,podálica
0DH67UZ,nutricion enteral sng
L89154,úlcera sacra grado IV
2449,hipotiroidismo (
84603,carcinoma seroso papilar
B020ZZZ,TC CRÁNEO
Z6740,"Grupo sanguíneo materno:0 , Rh:+"
O700,Desgarro I (
61189,asimetria mamaria
BW24Y0Z,Angio-TC toracic
K430,Hernia incisional incarcerada
Z6741,Grupo sanguíneo: 0 negativo
07T60ZZ,Linfadenectomia axilar izquierda
BN23ZZZ,TAC órbita
C786,PERITONEALES
D473,TROMBOCITOSI ESSENCIAL
I10,Hipertension
G249,Distonia
E785,hiperlipemia part
37482,Edema palpebral
R159,Incontinencia
BW00ZZZ,Radiografia de abdomen
0HHV0NZ,EXPANSOR MAMARIO BILATERAL
I10,Hipertensión
30233L1,PFC
9923,urbason
3E0G7KZ,Gastrografin
10S0XZZ,Version Cefalica externa
V163,Abuela Ca mama
D696,Obesidad part
N920,Sangrado menstrual abundante
88560,Lipoma intramuscular
283,AdenoidectomíaAmigdalotomía
B977,vph part
Z332,ILE por trisomía
F4320,T adaptativo
4438,Bypass gástrico lap
3596,VALVULOPLASTIA AÓRTICA
84803,carcinoma mucinoso
V5042,profilactica ovario
3E0337Z,suero glucosado
M1990,Osteoartritis
0417,Pseudomona
F17210,tabaquismo
5770,Pancreatitis aguda
10907ZC,amniorexis
D696,Trombopenia Parto
3E03329,Antibioticoteràpia
82720,adenomas hipofisis
10D17ZZ,LEGRADO UTERINO EVACUADOR
2883,HIPEREOSINOFILIA
C792,Metástasis cutánea
N1330,urétero-hidronefrosis derecha
65701,polhidramnios
8878,ecografia obstetrica
1759,ca mama masculina
O9972,Dermatitis atopica parto
D696,rubeola no inmune
E039,hipotir parto
D250,leiomiomas submucosos
40291,Miocardiopatía hipertensiva icc
Z6711,: A negativo
I509,hta irc 6 icc
K831,colestasis part
0UT54ZZ,SALPINGUECTOMÍA DERECHA LAPAROSCÓPICA
O99214,Obesidad Mórbida parto
I739,claudicación intermitente
4382,gastrectomia vertical laparoscopica
M170,Gonartrosis bilateral
J210,J21.0
R1310,R13.10
25040,Nefropatía diabetica
90840,Quiste dermoide
2001,DTTB
E119,Diabetes mellitus tipo 2
Z3A40,40+2 sem
0DQP0ZZ,Desgarro 4 grado
Z886,ALERGICA AL NOLOTIL
Z6740,GSRH:O+
D509,anèmia ferropènica parto
O30043,gemelar bicorial-biamniótica
3669,Cataratas bilateras
1830,Neoplasia. de ovario
62212,CIN 2
8553,prótesis
6561,Doble anexectomia
6200,folicular ovario
M609,miositis
63590,Interrupción legal del embarazo
D500,Anemia secundaria a hipermenorrea
283,Adenoidectomía.Amigdalectomía
28243,alfa talassemia
64231,Hipertensión arterial gestacion parto
27800,obesidad part
4A10X4Z,electroencefalograma
V5865,corticosteroides
3E033NZ,analgesico
K449,hh
O322XX0,presentación transversa
4052,linfadenectomia paraórtica
O210,HIPEREMESIS GRAVÍDICA
B953,S. pneumoniae
V524,recambio de expansor mamario
V146,ALERGIA A LA CODEINA
O99344,depresión part
K661,HEMOPERITONEO
F329,Trastorno depresivo crónico
I129,HTA irc 2
N760,vaginitis parto
8703,TAC craneal
3E0G76Z,sondaje gástrico
B32S1ZZ,TC ARTERIAS PULMONARES
R102,DOLOR PÉLVICO CRÓNICO
3E1K78Z,lavados vesicales continuos
29410,Alzheimer 2
M797,fibromialgia parto
08RJ3JZ,FACO+LIO OD
O360130,Anti D
O99013,anemia 3t
M310,Vasculitis leucocitoclástica
99809,Shock hipovolemico qx
O9852,VPH part
BN00ZZZ,Radiografía de cráneo
O700,desgarro vulva
D691,plaquetopenia
J329,Sinusitis parto
D472,Gammapatia Monoclonal
0WQNXZZ,Sutura desgarro I grado
Z390,Puerperio
64213,hta irc anteparto
Z7901,heparina
51884,Insuficiència respiratòria crònica agudo
3E03329,amoxicilina-clavulánico
9925,CITARABINA
O9962,Celiaca parto
O99334,fumadora part
N179,Fracaso renal agudo
8541,mastectomia simple
0663,virus Zika
0UL74ZZ,ltb LAPAROSCÓPICA
4823,rectoscòpia
Z87828,Historia de Quemadura
O4202,rotura de membranas
M349,ESCLERODERMIA
K529,gastroenteritis aguda
27651,Deshidratacio hipertonica
M75100,síndrome del manguito de los rotadores
N810,Uretrocele
D251,Mioma intramural parto
5011,PAAF higado
06H033T,Canalización de vena umbilical
H04121,Síndrome de ojo seco
O9912,Factor V de Leiden parto
6262,Hipermenorrees
Z228,rubeola NO inmune
4052,linfadenectomía paraaórtica
K4020,HERNIA INGUINAL BILATERAL
10A07ZX,misoprostol abortp
F1490,cocaina ocasional
N390,Infección del tracto urinario
7515,Dolicocolon
51881,Insuficiencia respiratoria aguda
D251,Mioma intramural
R42,Vertigo
O721,hemorragia post parto
Z91048,Alergia polen
E039,Hipotiroididsmo part
B955,enterococo
M1990,artrosis
O9902,anèmia parto
64511,part 41
0FT44ZZ,COLECISTECTOMÍA LAPAROSCÓPICA
28260,drepanocitosis
O1405,preeclampsia puerperal
BW25ZZZ,TAC tórax-abdomen-pelvis
2W13X7Z,terapia VAC
K0889,K08.89
3893,Canalización de vía periférica
S060X0A,TCE leve
60020,Hiperplasia Benigna de Próstata
N801,endometriosis ovárica
0DBW0ZX,biopsias de peritoneo
N710,Piometra
C7951,ÓSEA
E9170,golpe deporte
O3663X0,Feto grande para edad gestacional
M352,neurobehçet
20400,lal
7676,rafi mandibular
O24429,Diabetes gestacional
2809,Anemia ferropénica
0VT30ZZ,PROSTATECTOMIA RADICAL
Q211,Foramen oval
5562,Proctitis ulcerosa
N400,Hiperplasia prostatica benigna
5363,gastroparesia
Z888,Alergia Diclofenaco
B550,Leishmaniosi visceral
N83201,Quiste anexial derecho
C50911,CÁNCER DE MAMA DERECHA
0U7C7ZZ,Balon de Cook
E669,Obesitat
M4316,listesis lumbar
0UT14ZZ,ANEXECTOMIA IZQUIERDA POR LAPAROSCOPIA
N189,Hipertensión Insuficiencia renal crónica
Z6740,GS: O POSITIVO
F17210,tabaco part
M303,Kawasaki
V1551,Fractura h
BW211ZZ,TC abdominopélvico tras la administración de CIV
4053,Linfadenectomia pélvica
2851,Anemia posparto
30233R1,PLAQUETES
Z228,Rubéola: NO INMUNE
6266,Metrorragia
N9489,Pelvis congelada
80772,cin
O693XX0,Cordón corto part
K648,Hemorroides int
0UT90ZZ,HISTERECTOMÍA
Z886,Alérgica a:AAS
F1210,marihuana parto
O3413,miomas subseroso parto
N319,Vejiga neurógena
4019,hipertensión arterial
0TT74ZZ,nefrectomia radical lap
I493,extrasístoles ventriculares
34690,cefalea migrañosa
3E0333Z,corticoides
8873,Ecografia toràcica
V462,O2
O2623,64631
64421,Prematuridad
7245,dorsalgia
BW40ZZZ,Ecografia abdomen
O9832,Herpes genital part
56949,Proctitis
O9989,Hipoacusia parto
Z87891,ex- fumadora
78060,FIEBRE
O99282,Hipotiroidismo 2t
7911,RCFI húmero
Z90722,anexectomía
G500,Neuralgia trigeminal
O99354,Esclerosis múltiple parto
1629,Carcinoma pulmonar
Z923,RDT
H53002,ambliopia oi
3E033NZ,midazolam
07BD4ZZ,Linfadenectomía paraórtica
J36,Flemón periamigdalino izquierdo
R1110,vomitos
N83202,quiste hemorrágico ovario izquierdo
3963,Insufuciencia mitral y aórtica
28489,Aplasia
O76,registro cardiotocográfico no tranquilizador
E785,Dislipemia parto
O480,PARTO 41
V440,traqueotomia
N993,Prolapso de cupula vaginal
Z20828,SARS- CoV2 negativo
O23593,ITU part
O99284,Hipotiroidismo PART
P285,Insuficiencia respiratoria aguda rn
G35,Esclerosis Múltiple
Z6740,Grupo sanguíneo: 0 Rh +
I129,Hipertensión Insufiencia renal crónica estadio 3
Z886,"ALERGIAS: AINES,"
N132,Ureterohidronefrosis
O6989X0,cordón largo
F418,ansiedad-depresión
53011,Esofagitis per reflux
P0089,Hipotiroidismo madre rn
V252,Ligadura tubárica
3E0K805,MMC PostOPERATORIA
2710,Glucogenosis
3E033VJ,Inducción médica
Z6720,GS: B +
4052,Linfadenectomia aortica
J95830,Sangrado postamigdalectomía
544,omentectomía
E6609,Obesidad exógena
N870,CIN-I
60020,Hiperplasia benigna próstata
J439,Emfisema
N189,ERC hta
Z371,v271
O9989,Endometriosis parto
O165,Hipertensión puerperal
O700,laceracion paraclitoriana
Z6721,b negativo
C61,Neo de próstata
G911,hidrocefalia obstructiva
J9809,obstrucción bronquial
B852,Pediculosis
Z886,AL.LÈRGIES aas
B54MZZZ,EcoDoppler MSD
C541,Adenocarcinoma endometrioide
V1271,Ulcus duodenal intervenido
J343,TURBINOPLASTIA
O24420,Diabetes getsacional parto
64822,anemia postpart
J00,catarro de vías altas
E875,hiperpotasemia
2724,dislipemia familiar
1970,progresión pulmonar
V433,protesis valvula aòrtica
0UT70ZZ,doble salpinguectomía
O721,hemorragia pospARTO
Y929,lugar
O99333,fumadora 3t
3E033NZ,morfina
V4572,resección intestino
O351XX0,ILE) por Trisomía 21
I341,insuficiencia mitral parto
K610,absceso anal
3314,hidrocefalia
6902,legrado obstetrico
F329,hipotiroidismo part
9907,plasma
30393,Ex-enólico
B9620,ITU por E. coli
72888,rabdomiolisis
E109,Diabetes mellitus tipo 1
Z6720,GS B+ (
0HTU0ZZ,mastectomia radical izda
99640,Ruptura material osteosintesis
Z6710,"Grupo sanguíneo, A Rh positivo"
5680,adherencias intestinal
3E0337Z,Serumterapia
W19XXXA,caída
N390,itu 3t
O039,Avortament
G5600,sindrome del tunel carpiano
M5440,Lumbociática
F418,Sindrome ansioso/depresivo parto
1449,Neoplàsia maligna sòl de la boca
BW40ZZZ,ecografía de abdomen
Z950,MARCAPASOS
Z886,Alergias medicamentosas: AAS
10D17ZZ,Legrado puerperal
2762,Correcció de paladar fes
8E0W4CZ,laparoscópica asistida por robot
Z3A39,39+2 semanas
K589,COLON IRRITABLE
9390,Ventilación mecánica no invasiva
O1494,Preclampsia
O6014X0,parto prematuro
O23593,vaginits parto
1809,Carcinoma de cervix
B9620,e.coli
3E03329,Ertapenem
Z8551,V10.51
Z3A19,19 sema
P614,Anemia neonatal
I4949,extrasistoles
Z9882,Protesis mamaria
49390,asma
Z6830,obesidad parto
6549,anexectomía derecha
P618,leucocitosis rn
BW00ZZZ,Radiografía de abdomen
Z6831,IMC 31
M069,artritis reumatoide parto
B373,Cándidiasis vaginal parto
Z3A10,10 sem
F418,ansioso depresivo
N189,hta IRC
3004,Ansioso-Depresivo
V146,Alergia a metamizol
L52,Eritema nodoso parto
10S07ZZ,Kjelland
R202,parestesias
9607,sonda nasogástrica
BW20ZZZ,TAC ABDOMINAL
0UT64ZZ,ANEXECTOMÍA IZQUIERDA lap
0UT04ZZ,Anexectomía derecha lap
R109,Dolor abdominal no especificat
27803,Obesidad mórbida parto
BW21ZZZ,TC abdomino pelvico
E042,Bocio multinodular
4139,angor
R791,INR elevado
I872,Insuficiencia venosa superficial
O6981X0,circular
V140,Alergia a amoxicilina
P0703,Prematuridad 750
I340,Insuficiencia mitral severa
8827,Radiografía de rodilla
78079,Síndrome asténico
5569,Colitis ulcerosa
M1612,coxartrosis izquierda
4552,Hemorroides internas
59970,hematuria
R1110,vòmits
0HBT0ZZ,Tumorectomia Mama Derecha
3893,catéter
G250,Temblor esencial
Z9851,Ligadura tubarica
64893,Colelitiasis anteparto
J8410,Asma parto
Z6838,IMC: 38.
736,Episiotomía
S52021A,fractura olecranon derecho
4619,Sinusitis aguda
0UT14ZZ,OOFORECTOMIA IZQUIERDA LAPAROSCÓPICA
04111,Staphylococcus aureus
C50911,Carcinoma ductal infiltrante de mama derecha
Z6710,Grupo sanguineo: A Rh; positivo
V270,Rn
N183,hta irc 3
Z3189,V26.89
O9902,anemia part
V4382,Protesis mamaria
Z6740,O pos
D259,Utero polimiomatoso
O3663X0,Macrosomia fetal
O2302,PNa 2t
Z2251,Hepatitis B
64823,Anemia anteparto
30501,OH
Z6741,O negativo
34510,Epilèpsia convulsiva generalitzada
Z8551,Historia ca Vesical
6849,ht
C718,glioblastoma témporo-occipital izquierdo
05410,Herpes genital parto
Z3A38,38 w
64891,sgb 2
Z91038,alergia acaros
V9103,BI/BI
99809,Shock qx
8801,TAC Abdominal
64891,SGb +
O99344,síndrome ansioso-depresivo parto
D696,Plaquetopenia parto
3E0G76Z,nutricion enteral sng
3491,líquido pleural
Z6721,Grupo sanguíneo: B negtivo
K8020,COLELITIASIS
Z3A33,33+1 semanas
Z6730,AB rh positivo
8876,Ecografía abdominal
A080,Rotavirus
4A02X4Z,electrocardiograma
Z639,problemas sociofamiliar
O1493,preeclampsia
20020,Linfoma Burkit
0W993ZZ,líquido pleural
27800,obeso
73313,Fracturas vertebrales
Z91048,Alergica a Polen
R2689,alteración de la marcha
V140,ALERGIA PENICILINA
BW03ZZZ,RX TORAX
N739,enfermedad inflamatoria pélvica
Z96652,prótesis rodilla izquierda
C539,Ca. epidermoide de cervix
0UT64ZZ,Anexectomía izquierda por laparoscopia
Z3A41,41 +2 sg
9982,Lesión vesical accidental
5768,colestasis parto
G40822,Síndrome de West
M75101,ROTURA DEL SUPRAESPINOSO HOMBRO DERECHO
Z6720,Grupo B+
Z9181,historia de caídas
O99354,esclerosis multiple parto
5799,Malabsorción intestinal
58381,nefropatia dm
Z91048,Alérgia gramineas
R1110,vommitos
N400,Hipertrofia prostática
K4031,K40.31
S27322A,contusiones pulmonares bilateral
BW24Y0Z,Angio TaC torácico
O770,líquido meconial
D251,miomas intramurales parto
R5382,fatiga cronica
J069,infeccio respiratòria de vies altes
V4577,ooforectomía
O23593,vagintis parto
96803,Linfoma difuso de células grandes B
O721,hemorragia post-parto
Z9882,mamoplastía de aumento
5130,Absceso pulmonar
0DBE8ZX,biopsia colon
Q897,Síndrome polimalformativo
R0789,dolor torácico crónico
10D07Z3,FÓRCEPS
0D758ZZ,Dilatación esofágica
O721,sangrado PUERPERIo
H6690,Otitis media aguda
64891,enf parto
M4317,Espondilolistesis L5-S1.-
8891,RM craneo
32723,SAHS grave
P000,preeclampsia rn
O7182,Laceración parauretral
3E03329,antibiótic
O99354,epilepsia parto
Y831,cirugia protesis
O99285,Hipotiroidismo part
9921,ATb
N801,Endometrioma Ovario
K8050,Coledocolitiasis
Z853,Historia de neo de mama
V1309,Colicos nefríticos historia
Z6740,Grupo sanguíneo materno 0+
D259,mioma parto
10D17Z9,", se extrae coagulo"
O360130,Anti-D.
N814,Prolapse uterovaginal
2731,Gammapatia monoclonal
Z302,Esterilización
G43909,migrañosas
Z91048,Alergia pólen
73390,Osteopenia
P0504,bajo peso para edad gestacional 1000
80103,Ca
6581,adhesiolisis pelvicas lap
Z8781,historia fractura
N186,enfermedad renal cronica terminal
R41840,déficit de atención
Z91018,Alergia alimento
4A02X4Z,ECG
Z91018,ALERGIAS: MELOCOTÓN
N185,HTA ERC grado 5
78050,Trastorno del sueño
D649,HIPOTIROIDISMO 3T
Z8616,Historia de SARS cov2
R509,febricular
R270,Ataxia
T8140XA,infección de herida quirúrgica
Z91048,Alérgica a: gramineas
N99820,sangrado postconización
F4321,Tr adaptativo con sintomatología depresiva
47410,Hipertrofia amigdalar adenoidea
N281,Riñones con quistes
0UT60ZZ,anexectomía izquierda
G40319,G40.319
0JB90ZZ,Quiste pilonidal
L309,Eccema crónico
H7191,COLESTEATOMA DERECHO
E6601,Obesidad morbida parto
3142,laringotraqueoscopia
D320,Meningioma
I420,MCD
O9912,Síndrome metabólico parto
J3089,Rinoconjuntivitis
O133,HTA gestacional
Z370,recién nacida
Z91048,Alergia Niquel
O3429,conizacion parto
F05,290.3
Z975,DIU
3E033VJ,Induccion médica
O9912,colon irritable parto
V4577,Prostatectomía
O403XX0,Polihidramnis
5080,Neumonia rádica
2720,Hipercolesterolemia parto
7820,HIPOESTESIA
099600Z,dtt bilateral
8879,Ecografía ginecologica
Z882,ALERGIAS: SULFAMIDAS
O9952,asma PARTO
0SBC4ZZ,Meniscopatia interna GENOLL dret
Z6711,a negativos
Z302,esterilización
23871,trombocitosi
64403,App
5859,Insuficiencia renal cronica
O30043,Gestacion Gemelar Bicorial Biamniotica
5790,celíaca
M2012,Hallux valgus pie izquierdo
G971,Cefalea postpunción
5979,TOT
O9972,eritema nodoso parto
4430,Raynaud
10D00Z1,cesària
5186,Aspergilosis broncopulmonar alérgica
B32TZZZ,AngioTC torácico
K5641,fecaloma
Z90710,Histerectomía
07TD0ZZ,LINFADENECTOMIA PaRA-AÓRTICA
O621,No progresion de parto
I7300,raynaud
S43102A,luxación Acromiocalvicular izquierda
N184,HTA irc 4
25040,diabética nefropatia
M310,vasculitis leucocitoclástica
R7881,bacteriemia
V443,Colostomia
Z9884,Sleeve gástrico
5609,obstruccio intestina
N711,Endometritis crónica
30233N1,2 CCHH
5123,Colecistectomía laparoscópica
F17210,Fumadora PART
V1041,historia ca cervix
2863,Déficit de factor VII
78061,fiebre 2
O3663X0,GEG
U071,covid parto
O99284,Síndrome de Gilbert part
O99284,Hipotiroidismo quirúrgicas parto
O99824,SAG POSITIVO
10D07Z8,Gran extracción
4052,Linfadenectomia paraortica
J13,Pneumònia Pneumocòccica
64823,Anemia ferropenica anteparto
Z228,Rubéola NO inmune
70715,Úlcera peu
0UT70ZZ,BSGC derecho
V146,Al#lèrgica al Nolotil
4019,HTA crónica
9904,cchh
O210,Emesis gravídica
V861,RE+
2219,Cirugia endoscopica nasosinusal 2
27900,Hipogammaglobulinemia
O4292,rpm
O1424,hellp
C679,NEOPLASIA vesical
Z87448,Cólicos nefríticos de repetición
N4400,torsión testicular derecha
V4574,RTU
M40294,Cifosis dorsal
3E0333Z,metilprednisolona
Z6740,GSRh:O positivo
V146,Alergía a ibuprofeno
E039,Hipotirodismo
Q676,Pectum excavatum
66001,podálica 2
9921,antibiótico
1811,Otoscòpia
9929,analgésico
Q300,Estenosis coana
N611,absceso de mama derecha
Z6841,IMC 42
2820,esferocitosis hereditaria
C642,"Neoplàsia maligna, ronyó esquerre"
Z3A23,23 semanas
7428,Encefalopatía CONGENITA
F17210,TABACO parto
2720,hipercolesterolemia
V252,ligadura tubárica
Z886,Alérgica a Diclofenaco
C19,neoplasia recto-sigma
J300,Rinitis vasomotora
I130,hta icc irc
E7800,SOP parto
O6003,Amenaza de parto prematuro
Z91048,Alérgia polen
Z9221,Historia de Qt
E8809,hipoalbuminemia
Z6741,: 0 Negativo
Z6720,Grupo sanguíneo: B+
40390,Hipertensión arterial irc
E785,Hiperlipemia part
0UT64ZZ,Anexectomia izquierda laparoscópica
501,asbestosis
Z170,RE +++/+++
0SRC0J9,artroplastia total de rodilla derecha
C786,PSEUDOMIXOMA PERITONEAL
N1830,HTA ERC 3
P393,pielonefritis aguda rn
O34211,cesáreas previas
0VT34ZZ,prostatectomía radical laparoscópica
5533,Hèrnia de hiatus
D62,anemizacion
H53001,Ambliopia OD
I471,TSV
3E0P7VZ,prostanglandinas
K2940,Gastritis crónica atrofica
Z6741,: O neg
O98813,Candidiasis vaginal 3t
J189,neumonía basal derecha
BY4FZZZ,Ecografía
O622,Dinámica uterina
D66,hemofilia
Z942,transplantat pulmonar
8703,TC de craneo
9921,Gentamicina
E063,hipotiroidismo part
BB4BZZZ,Ecografía torácica
N856,Asherman
D259,mioma uterino
R571,shock hipovolémico
E8498,otro
O3413,Mioma subseroso parto
E663,sobrepeso
F0280,alzheimer
M109,gota
K3189,Metaplasia gástrica
90300,fibroAdenoma juvenil
O9902,Anemia ferropénica part
64883,Diabetes gestacional antepart
49390,Asma
5A1955Z,vm 2
V8543,IMC 50
O4202,Rotura prematura de membranas 1
Z370,neonatos
2724,Dilsipemia
G44219,cefalea tensional episodica
4139,anginas
F09,Deterioro cognitvo
O034,aborto séptico
Z950,Portadora de marcapasos
K654,Paniculitis mesentérica
5379,Lesión gástrica
5425,Lavados peritoneal
64233,EHE anteparto
K439,Hernia epigastrica
3E03329,antibioterápico
49390,asma part
0UT74ZZ,Anexectomia bilateral laparoscópica
V240,control puerpera
0DBW0ZZ,PERITONECTOMÍA
O9942,insuficiencia mitral parto
V141,Alergia AUGMENTINE
5A1D70Z,dialisis
25000,DMII
F913,Trastorno negativista desafiante
9921,Antibioterapia
0UT70ZZ,HISTERECTOMÍA abdominal RADICAL
Z9621,Implante coclear
K200,Esofagitis eosinofílica
2851,hematies
Z603,Barrera idiomàtica
0SBD4ZZ,Meniscectomía izquierda
V536,retirada de doble J
E782,Dislipidemia Mixta
Z6710,Grupo sanguíneo materno A rh positivo
O9972,Psoriasis part
65401,útero bicorne parto
10A07ZX,Misoprostol aborto
0JB40ZZ,quiste branquial
O42913,Rotura de membranas prematuro
8828,Radiografía tobillo
Z6740,GSrh: O positivo
D242,Papiloma intracanalicular mama izquierda
O34211,cesáreas anteriores
E538,déficit B12
I81,Trombosis portal
8E0W0CZ,PROSTATECTOMÍA RADICAL
N859,621.9
K5730,Divertículos colónica
1749,cáncer de mama izquierda
71509,Artrosis generalizada
I352,doble lesión aórtica
9921,antibioticoteràpia
0T9680Z,CATÉTER DOBLE J DERECHO
Z170,re -
2639,malnutricio
0UQMXZZ,lasceraciones en labios
O9842,Hepatitis C parto
O99214,Obesitat part
O9902,talassemia minor parto
4011,biopsia de ganglio
3893,Venoclisis
C787,metástasis hepáticas
4578,Limfocele
A5901,Trichomonas vaginales
D259,LEIOMIOMA UTERINO
Z952,recambio valvular
R6251,retard ponderal
Z6740,"Grupo sanguíneo: 0, Rh: +"
O24424,Diabetes gestacional Insulina
5712,Cirrosis hepática alcohólica
I739,Arteriopatia periférica
7242,lumbago
O1414,PREECLAMPSIA grave
G40909,Epilepsia
V8542,imc 46
64841,anorexia nerviosa parto
K269,Ulcus gastroduodenal
4240,Insuf mitral
78062,Fiebre post quirúrgica
I2720,HT pulmonar
Z1509,SÍNDROME DE LYNCH
0UT70ZZ,Anexectomía bilateral
E103299,Retinopatía dm 1
D271,Teratoma Ovario izquierdo
5932,Quistes parapiélicos renales
5198,infecc resp
E301,Pubertad precoz
J439,enfisematoso
R1110,Vómitos
O99284,Déficit Vit D part
R739,Hiperglucemias
6759,Cerclaje cervical
E282,SOPQ
Z763,Ingreso social
74781,malformación cerebral
C541,neoplasia endometrial
K219,RGE
N189,ERC
B020ZZZ,tac craneal
0JQC0ZZ,RECTOCELE
B341ZZZ,Ecografía de troncos supraórticos
K5221,FPIES
G809,Paràlisi cerebral no especificada
6391,GEU sangrado
485,bronconeumonia
B9620,E. coli
O694XX0,Vasa previa
8553,protesis mamaria
D171,lIPOMA LUMBAR
R1110,Vòmits
5559,Chron
S52202A,fractura cubit esquerre
R6521,shock septico
V4382,prótesis mamarias
64931,Enfermedad de Von Willebrand parto
V140,Alergia a la Penicilina
G40909,G40.909
K623,Prolapso rectal
57420,Colelitiasis
Z370,nounat
10D17Z9,extracción manual placenta
Z228,Rubeola Negativa
0DQR0ZZ,Desgarro perineal IIIa
Z6740,Grupo sanguíneo materno: 0 Rh: positivo
0UT74ZZ,doble anexectomía lap
Z95828,endoprótesis aórtica
Z6710,: A pos (
H900,hipoacusia de transmisión
G441,cefalea vascular
2230,angiomiolipoma renal
Z602,Reside sola
6208,quiste paratubarico
64821,anemia ferropénica parto
V270,recién nacido
C539,ca cervix
Z90721,OOFORECTOMÍA IZQUIERDA
V270,RN
Q5310,Criptorquidia
BW40ZZZ,Ecografía abdominal
0CTPXZZ,adenoamigdalectomia
E063,tiroiditis autoinmune
F1020,Enolismo crónico
Z950,marcapasos
3E0337Z,Sueroterapia
O24420,Diabetes Gestacional A1
Z6710,Grupo sanguíneo: A+ (
Z593,Vive en Residencia
G40109,Epilèpsia focal
Z853,Historia de cancer de mama
C786,Carcinomatosis peritoneal
N10,Pielonefritis
E8881,Síndrome metabólico
311,sindrome depresivo
I4892,Flútter auricular
Z6740,Grupo: 0 positivo
O721,Hemorrragia posparto
R7881,790.7
8500,traumatismo craneoencefálico
Z6740,Grupo O+
0QSN0ZZ,Scarf pie derecho
91210,Cavernoma
L508,Urticara crónica parto
9984,Aislamiento
B040ZZZ,Ecografía SNC
28860,Leucocitosis
V1302,ITUs frecuentes
32723,SAHS
F429,TOC parto
B9620,Bacteriemia por E. Coli
5950,CISTITIS AGUDA
J323,Sinusitis esfenoidal cronica
0TC78ZZ,LITiasis ureter izquierdo
84803,neoplasia mucinoso
07TC4ZZ,cistectomía radical laparoscopica
R5600,convulsió febril
E785,Dislipidemia
V462,oxigen domiciliario
8952,ECG
66401,Desgarro tipo I
O99214,Obesidad mórbida part
J310,Rinitis
E8494,columpio
6841,Histerectomia total lap
31401,TDAH
F1010,alcohol
724,fórceps
I442,BAV completo
64661,itu pARTO
BW21ZZZ,TAC ABDOMINO PELVICO
E669,OBESITAT
G8929,dolor crònic
0HHT0NZ,EXPANSOR MAMA derecha
D473,Trombocitosis esencial
L52,Tiroiditis parto
R630,hiporexia
Z950,portador de marcapasos
5680,adherencias
V140,alérgico a la Penicilina
O700,"Desgarro I,"
E8889,caída
71536,Gonartrosis
V103,ha ca mama
Z3A40,"40,2 setmanes"
N10,Pielonefritis aguda por E .Coli
0UT90ZZ,Histerectomia Total
Z905,nefrectomia
5979,tot
K4090,henria inguinal izquierda
K219,Reflujo gastroesófagico part
0UB98ZZ,PÓLIPOS ENDOMETRIALES
R310,HEMATURIA MACROSCÓPICA
O30033,monocorial / biamniótica
O745,cefalea punción dural
B32SZZZ,AngioTC toracico
N838,Quiste simple paratubárico
0DB38ZX,biopsia esófago distal
8847,arteriografía abdomen
O9852,rubeola No inmune
Q250,Ductus
Z3A36,36+2 semanas
F08L5BZ,VAC
G3184,DETERIORAMENT COGNITIU LLEU
3E033GC,anticoagulante
64781,Zika + parto
74900,FISSURA PALATINA
0HB7XZX,biopsia piel abdomen
8607,colocación de Port-a-cath
BW211ZZ,TC abdominopélvico con CIV.
0TBB4ZZ,rtu vesical lap
C541,NEOPLASIA MALIGNA DE ENDOMETRIO
3814,Otitis Media Serosa
O9902,Anemia part
G800,Tetraparesia espástica-distónica
664,salpinguectomia izquierda
0DC58ZZ,cuerpo extraño esofágico
V860,re +
V4577,annexectomia
O365930,rciu
E039,HIPOTIROIDISMO
R569,convulsión
2911,Faringoscopia
K900,Celiaquía part
8741,TC torácico
F1010,Abuso de alcohol
8607,Port-a-Cath
0TBD8ZZ,exéresis carúncula uretral
2859,Anemia normocítica
J309,Rinitis alérgica part
598,colocación de cateter doble J
10908ZC,amniorrexis artificial
Z6711,obesidad parto
0UB98ZZ,POLIPO endometrio
D569,Talasemia part
Z20822,SARS-CoV2 NEGATIVO
Z888,Alergia AINES
D582,hemoglobinopatia parto
O9912,Déficit proteina c parto
Q892,Quiste tirogloso
J040,laringitis aguda
E8342,Hipomagnesemia
K5730,Diverticulosis sigmoidea.
G40909,Epilepsia refractaria
8879,Ecografía ginecológica
7906,hiperuricemia
Z3A34,34+0 semanas
D509,anemia ferropénica parto
64233,hipertension gestacional anteparto
3869,Vertigo
5589,gastroenteritisaguda
O864,febril postparto
M48061,Estenosis L4-L5
6651,doble salpinguectomía
L508,Urticaria crónica autoinmune
0PSL04Z,rafi cubito izquierdo
O9089,enf puerperal
CB121ZZ,Gammagrafia pulmonar
P2889,bronquiolitis aguda VRS rn
5533,hernia hiatal
Z886,Alérgica a codeina
