Code,D_P,processed_Description,processed_Literal
O4103X0,D,"oligohidramnios, tercer trimestre, no aplicable o no especificado",anhidramnios
O4103X0,D,"oligohidramnios, tercer trimestre, no aplicable o no especificado",oligoamnios
O4103X0,D,"oligohidramnios, tercer trimestre, no aplicable o no especificado",oligohidramnios
O4103X0,D,"oligohidramnios, tercer trimestre, no aplicable o no especificado",oligoamnios
O4103X0,D,"oligohidramnios, tercer trimestre, no aplicable o no especificado",oligoamnios
O4103X0,D,"oligohidramnios, tercer trimestre, no aplicable o no especificado",anhidramnis
O4103X0,D,"oligohidramnios, tercer trimestre, no aplicable o no especificado",oligoammnios
O4103X0,D,"oligohidramnios, tercer trimestre, no aplicable o no especificado",anhidramnios
O4103X0,D,"oligohidramnios, tercer trimestre, no aplicable o no especificado",oligoamnios part
O411220,D,"corioamnionitis, segundo trimestre, no aplicable o no especificado",corioamnionitis 2t
O411230,D,"corioamnionitis, tercer trimestre, no aplicable o no especificado",corioamnionitis aguda
O411230,D,"corioamnionitis, tercer trimestre, no aplicable o no especificado",corioamnionitis
O411230,D,"corioamnionitis, tercer trimestre, no aplicable o no especificado",corioamnionitis
O411230,D,"corioamnionitis, tercer trimestre, no aplicable o no especificado",corioamnionitis
O411230,D,"corioamnionitis, tercer trimestre, no aplicable o no especificado",corioamnionitis aguda
O411430,D,"placentitis, tercer trimestre, no aplicable o no especificado",placentitis
O42013,D,"rotura prematura de membranas pretermino, inicio del trabajo de parto en las primeras 24 horas de la rotura, tercer trimestre",rotura prematura membranas pp 1
O42013,D,"rotura prematura de membranas pretermino, inicio del trabajo de parto en las primeras 24 horas de la rotura, tercer trimestre",rotura prematura membranas pp 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",rotura espontanea de membranas 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",rem
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",ruptura prematura de membranas 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",rotura espontanea de membranas 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",amniorrexis
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",rotura espontanea de membranas 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",amniorrexis:
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",ruptura espontanea de membranas 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",amniorrexis
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",rotura de membranas
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",rotura prematura de membranas 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",ruptura prematura de membranas 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",rotura espontanea de membrana 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",rotura prematura membranas 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",rotura prematura de membranas 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",rotura espontanea de membranas 1
O4202,D,"rotura prematura de membranas a termino, inicio del trabajo de parto en las primeras 24 horas de la rotura",ruptura prematura de membranes 1
O42113,D,"rotura prematura de membranas pretermino, inicio del trabajo de parto despues de las 24 horas de la rotura, tercer trimestre",rotura prematura membranas pp 2
O42113,D,"rotura prematura de membranas pretermino, inicio del trabajo de parto despues de las 24 horas de la rotura, tercer trimestre",rotura prematura membranas pp 2
O42113,D,"rotura prematura de membranas pretermino, inicio del trabajo de parto despues de las 24 horas de la rotura, tercer trimestre",rotura prematura membranas pp 2
O4212,D,"rotura prematura de membranas a termino, inicio del trabajo de parto despues de mas de 24 horas de la rotura",rotura prematura membranas 2
O4212,D,"rotura prematura de membranas a termino, inicio del trabajo de parto despues de mas de 24 horas de la rotura",rotura prematura de membranas 2
O4212,D,"rotura prematura de membranas a termino, inicio del trabajo de parto despues de mas de 24 horas de la rotura",rotura prematura membranas 2
O4212,D,"rotura prematura de membranas a termino, inicio del trabajo de parto despues de mas de 24 horas de la rotura",rotura prematura de membranas 2
O42913,D,"rotura prematura de membranas pretermino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto, tercer trimestre",rotura de membranas prematuro
O42913,D,"rotura prematura de membranas pretermino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto, tercer trimestre",rotura de membranas prematur
O4292,D,"rotura prematura de membranas a termino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto",rotura de membranas
O4292,D,"rotura prematura de membranas a termino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto","bolsa rota,"
O4292,D,"rotura prematura de membranas a termino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto",bolsa rota
O4292,D,"rotura prematura de membranas a termino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto",rotura de membranas
O4292,D,"rotura prematura de membranas a termino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto",rotura prematura membranas
O4292,D,"rotura prematura de membranas a termino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto",rotura de la bolsa
O4292,D,"rotura prematura de membranas a termino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto",rotura prematura membranas
O4292,D,"rotura prematura de membranas a termino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto",amniorrexis espontanea
O4292,D,"rotura prematura de membranas a termino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto",rotura prematura de membranas
O4292,D,"rotura prematura de membranas a termino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto",amniorrexis
O4292,D,"rotura prematura de membranas a termino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto",amniorrexis
O43022,D,"sindrome de transfusion placentaria de feto a feto, segundo trimestre",o43.022
O43123,D,"insercion velamentosa del cordon umbilical, tercer trimestre",insercion velamentosa de cordon
O43193,D,"otra malformacion de la placenta, tercer trimestre",cotiledon aberrante
O43813,D,"infarto placentario, tercer trimestre",infarto placenta
O4403,D,"placenta previa completa neom o sin hemorragia, tercer trimestre",placenta previa
O4403,D,"placenta previa completa neom o sin hemorragia, tercer trimestre",placenta previa oclusiva total
O4403,D,"placenta previa completa neom o sin hemorragia, tercer trimestre",placenta previa oclusiva total
O4403,D,"placenta previa completa neom o sin hemorragia, tercer trimestre",placenta previa oclusiva total
O4403,D,"placenta previa completa neom o sin hemorragia, tercer trimestre",placenta previa
O4413,D,"placenta previa completa con hemorragia, tercer trimestre",placenta previa sangrado
O4413,D,"placenta previa completa con hemorragia, tercer trimestre",placenta previa hemorragia
O458X3,D,"otro desprendimiento prematuro de placenta, tercer trimestre",dppni
O458X3,D,"otro desprendimiento prematuro de placenta, tercer trimestre",desprendimiento parcial de placenta
O458X3,D,"otro desprendimiento prematuro de placenta, tercer trimestre",desprendimiento placenta
O458X3,D,"otro desprendimiento prematuro de placenta, tercer trimestre",desprendimiento prematuro de placenta
O4692,D,"hemorragia anteparto, no especificada, segundo trimestre",metrorragia 2t
O4693,D,"hemorragia anteparto, no especificada, tercer trimestre",metrorragia 3er trimestre
O4693,D,"hemorragia anteparto, no especificada, tercer trimestre",metrorragia 3t
O480,D,embarazo postermino,primigesta de 40
O480,D,embarazo postermino,gestacion prolongada
O480,D,embarazo postermino,gestacion cronologicamente prolongada
O480,D,embarazo postermino,40 parto
O480,D,embarazo postermino,semana 40
O480,D,embarazo postermino,40 partos
O480,D,embarazo postermino,obesidad parto
O480,D,embarazo postermino,parto 41
O480,D,embarazo postermino,gestacion en vias de prolongacion
O480,D,embarazo postermino,semana 41
O480,D,embarazo postermino,gestante de 40
O480,D,embarazo postermino,sg: 40
O480,D,embarazo postermino,gvp
O480,D,embarazo postermino,gestacion en vias de prolongacion.
O480,D,embarazo postermino,primigesta de 40
O480,D,embarazo postermino,: 41+1
O480,D,embarazo postermino,sa: 40.
O480,D,embarazo postermino,gestacion cronologicamente prolongada
O480,D,embarazo postermino,gestacion cronologicamente prolongada.
O480,D,embarazo postermino,parto 41
O480,D,embarazo postermino,41 semanas cumplidas
O480,D,embarazo postermino,gestacion prolongada
O480,D,embarazo postermino,40 part
O480,D,embarazo postermino,41
O480,D,embarazo postermino,gestacion cronologicamente prolongada
O480,D,embarazo postermino,gestacion cronologicamente prolongada
O480,D,embarazo postermino,41 + 1
O480,D,embarazo postermino,gcp
O480,D,embarazo postermino,amenorrea: 41 +
O480,D,embarazo postermino,40.3
O480,D,embarazo postermino,gestante de 40+
O480,D,embarazo postermino,gcp
O480,D,embarazo postermino,41 +3
O480,D,embarazo postermino,gestracion cronologicamente prolongada
O480,D,embarazo postermino,41+1
O480,D,embarazo postermino,parto eutocico a las 40
O480,D,embarazo postermino,gestacion prolongada
O480,D,embarazo postermino,espondilitis anquilosante parto
O480,D,embarazo postermino,sg: 40 +
O480,D,embarazo postermino,primigesta de 40+
O480,D,embarazo postermino,"parto , 41"
O481,D,embarazo prolongado,parto 42 semanas
O6002,D,"trabajo de parto prematuro sin parto, segundo trimestre",app 2
O6002,D,"trabajo de parto prematuro sin parto, segundo trimestre",app 2
O6003,D,"trabajo de parto prematuro sin parto, tercer trimestre",app
O6003,D,"trabajo de parto prematuro sin parto, tercer trimestre",amenaza de parto pretermino
O6003,D,"trabajo de parto prematuro sin parto, tercer trimestre",amenada de parto prematuro
O6003,D,"trabajo de parto prematuro sin parto, tercer trimestre",amenaza de parto pretermino
O6003,D,"trabajo de parto prematuro sin parto, tercer trimestre",app
O6003,D,"trabajo de parto prematuro sin parto, tercer trimestre",amenaza de parto prematuro
O6003,D,"trabajo de parto prematuro sin parto, tercer trimestre",amenaza de parto pretermino
O6003,D,"trabajo de parto prematuro sin parto, tercer trimestre",amenaza de parto pretermino
O6014X0,D,"trabajo de parto prematuro en el tercer trimestre con parto prematuro del tercer trimestre, no aplicable o no especificado",pp
O6014X0,D,"trabajo de parto prematuro en el tercer trimestre con parto prematuro del tercer trimestre, no aplicable o no especificado",prematuridad
O6014X0,D,"trabajo de parto prematuro en el tercer trimestre con parto prematuro del tercer trimestre, no aplicable o no especificado",covid parto
O6014X0,D,"trabajo de parto prematuro en el tercer trimestre con parto prematuro del tercer trimestre, no aplicable o no especificado",parto prematuro
O6014X0,D,"trabajo de parto prematuro en el tercer trimestre con parto prematuro del tercer trimestre, no aplicable o no especificado",parto pretermino
O6014X0,D,"trabajo de parto prematuro en el tercer trimestre con parto prematuro del tercer trimestre, no aplicable o no especificado",pp
O6014X0,D,"trabajo de parto prematuro en el tercer trimestre con parto prematuro del tercer trimestre, no aplicable o no especificado",parto prematuro
O6014X0,D,"trabajo de parto prematuro en el tercer trimestre con parto prematuro del tercer trimestre, no aplicable o no especificado",prematuridad
O6014X0,D,"trabajo de parto prematuro en el tercer trimestre con parto prematuro del tercer trimestre, no aplicable o no especificado",pretermino
O610,D,induccion fallida medica del trabajo de parto,fracaso de induccion
O610,D,induccion fallida medica del trabajo de parto,fallo de induccion
O610,D,induccion fallida medica del trabajo de parto,fallo de induccion
O610,D,induccion fallida medica del trabajo de parto,fallo de induccion
O610,D,induccion fallida medica del trabajo de parto,fracaso de induccion
O621,D,inercia uterina secundaria,parto estacionado
O621,D,inercia uterina secundaria,parto estacionat
O621,D,inercia uterina secundaria,npp
O621,D,inercia uterina secundaria,parto estacionado
O621,D,inercia uterina secundaria,falta de progresion parto
O621,D,inercia uterina secundaria,fpp
O621,D,inercia uterina secundaria,no progresion de parto
O621,D,inercia uterina secundaria,no progresion de parto
O621,D,inercia uterina secundaria,falta de progresion parto
O621,D,inercia uterina secundaria,npp
O622,D,otros tipos de inercia uterina,dinamica uterina
O622,D,otros tipos de inercia uterina,dinamica uterina
O622,D,otros tipos de inercia uterina,dinamica uterina sin modificaciones
O623,D,trabajo de parto precipitado,parto precipitado
O624,D,"contracciones uterinas hipertonicas, incoordinadas y prolongadas",prodomos parto
O624,D,"contracciones uterinas hipertonicas, incoordinadas y prolongadas",contracciones
O624,D,"contracciones uterinas hipertonicas, incoordinadas y prolongadas",prodomos
O631,D,segunda fase (del trabajo de parto) prolongada,acortamiento de expulsivo
O631,D,segunda fase (del trabajo de parto) prolongada,a.e
O631,D,segunda fase (del trabajo de parto) prolongada,iii plano oidp
O631,D,segunda fase (del trabajo de parto) prolongada,ventosa
O631,D,segunda fase (del trabajo de parto) prolongada,: iii plano oa
O631,D,segunda fase (del trabajo de parto) prolongada,expulsivo prolongado
O631,D,segunda fase (del trabajo de parto) prolongada,ae
O631,D,segunda fase (del trabajo de parto) prolongada,: iii plano oiia
O631,D,segunda fase (del trabajo de parto) prolongada,iii plano op
O631,D,segunda fase (del trabajo de parto) prolongada,: iii plano op
O631,D,segunda fase (del trabajo de parto) prolongada,expulsivo prolongado
O631,D,segunda fase (del trabajo de parto) prolongada,iii plano oida
O631,D,segunda fase (del trabajo de parto) prolongada,: iii plano oida
O631,D,segunda fase (del trabajo de parto) prolongada,alivio expulsivo
O631,D,segunda fase (del trabajo de parto) prolongada,iii plano oiip
O631,D,segunda fase (del trabajo de parto) prolongada,ventosa
O631,D,segunda fase (del trabajo de parto) prolongada,acortamiento de expulsivo.
O631,D,segunda fase (del trabajo de parto) prolongada,ventosa
O631,D,segunda fase (del trabajo de parto) prolongada,alivio de expulsivo
O640XX0,D,"trabajo de parto obstruido debido a rotacion incompleta de la cabeza fetal, no aplicable o no especificado",distocia de descenso
O640XX0,D,"trabajo de parto obstruido debido a rotacion incompleta de la cabeza fetal, no aplicable o no especificado",distocia de rotacion
O640XX0,D,"trabajo de parto obstruido debido a rotacion incompleta de la cabeza fetal, no aplicable o no especificado",distocia rotacion
O649XX0,D,"trabajo de parto obstruido debido a mala posicion y mala presentacion, no especificada, no aplicable o no especificado",distocia de rotacion
O660,D,trabajo de parto obstruido debido a distocia del hombro,distocia de hombros
O660,D,trabajo de parto obstruido debido a distocia del hombro,distocia de hombro
O660,D,trabajo de parto obstruido debido a distocia del hombro,distocia de hombros
O660,D,trabajo de parto obstruido debido a distocia del hombro,distocia de hombros
O665,D,intento de utilizacion de ventosa y forceps,forceps fallido
O665,D,intento de utilizacion de ventosa y forceps,forceps fallido
O679,D,"hemorragia intraparto, no especificada",sangrado part
O679,D,"hemorragia intraparto, no especificada",metrorragia parto
O679,D,"hemorragia intraparto, no especificada",metrorragias parto
O690XX0,D,"trabajo de parto y parto complicados por prolapso del cordon, no aplicable o no especificado",prolapso de cordon
O691XX0,D,"trabajo de parto y parto complicados por cordon alrededor del cuello, con compresion, no aplicable o no especificado",circulares prietas
O691XX0,D,"trabajo de parto y parto complicados por cordon alrededor del cuello, con compresion, no aplicable o no especificado",circular prieta
O692XX0,D,"trabajo de parto y parto complicados por otros enredos del cordon, con compresion, no aplicable o no especificado",nudo verdadero
O693XX0,D,"trabajo de parto y parto complicados por cordon corto, no aplicable o no especificado","cordon: seccion tardia , caracteristicas: corto"
O693XX0,D,"trabajo de parto y parto complicados por cordon corto, no aplicable o no especificado",cordon corto
O693XX0,D,"trabajo de parto y parto complicados por cordon corto, no aplicable o no especificado",cordon corto part
O693XX0,D,"trabajo de parto y parto complicados por cordon corto, no aplicable o no especificado",cordon corto parto
O693XX0,D,"trabajo de parto y parto complicados por cordon corto, no aplicable o no especificado",cordon corto parto
O693XX0,D,"trabajo de parto y parto complicados por cordon corto, no aplicable o no especificado","cordon: seccion tardia , caracteristicas corto"
O693XX0,D,"trabajo de parto y parto complicados por cordon corto, no aplicable o no especificado",cordon corto
O693XX1,D,"trabajo de parto y parto complicados por cordon corto, feto 1",cordon umbilical corto
O694XX0,D,"trabajo de parto y parto complicados por vasa previa, no aplicable o no especificado",vasa previa
O694XX0,D,"trabajo de parto y parto complicados por vasa previa, no aplicable o no especificado",vasa previa
O6981X0,D,"trabajo de parto y parto complicados por cordon alrededor del cuello, sin compresion, no aplicable o no especificado",bandolera
O6981X0,D,"trabajo de parto y parto complicados por cordon alrededor del cuello, sin compresion, no aplicable o no especificado",bandolera
O6981X0,D,"trabajo de parto y parto complicados por cordon alrededor del cuello, sin compresion, no aplicable o no especificado",circular
O6981X0,D,"trabajo de parto y parto complicados por cordon alrededor del cuello, sin compresion, no aplicable o no especificado",una circulares
O6981X0,D,"trabajo de parto y parto complicados por cordon alrededor del cuello, sin compresion, no aplicable o no especificado",circulares
O6981X0,D,"trabajo de parto y parto complicados por cordon alrededor del cuello, sin compresion, no aplicable o no especificado",vuelta de cordon laxa
O6982X0,D,"trabajo de parto y parto complicados por otros enredos del cordon, sin compresion, no aplicable o no especificado",circular en mano
O6982X0,D,"trabajo de parto y parto complicados por otros enredos del cordon, sin compresion, no aplicable o no especificado",bandolera
O6989X0,D,"trabajo de parto y parto complicados por otras complicaciones del cordon, no aplicable o no especificado",cordon largo
O6989X0,D,"trabajo de parto y parto complicados por otras complicaciones del cordon, no aplicable o no especificado",procidencia de mano.
O6989X0,D,"trabajo de parto y parto complicados por otras complicaciones del cordon, no aplicable o no especificado",cordon largo
O6989X0,D,"trabajo de parto y parto complicados por otras complicaciones del cordon, no aplicable o no especificado",arteria umbilical unica
O6989X0,D,"trabajo de parto y parto complicados por otras complicaciones del cordon, no aplicable o no especificado",procidencia de mano
O6989X0,D,"trabajo de parto y parto complicados por otras complicaciones del cordon, no aplicable o no especificado",rotura de cordon umbilical
O6989X0,D,"trabajo de parto y parto complicados por otras complicaciones del cordon, no aplicable o no especificado",circular
O6989X0,D,"trabajo de parto y parto complicados por otras complicaciones del cordon, no aplicable o no especificado",ruptura de cordon umbilical
O6989X1,D,"trabajo de parto y parto complicados por otras complicaciones del cordon, feto 1",una circular
O700,D,desgarro perineal de primer grado en el parto,desgarro de 1er grado
O700,D,desgarro perineal de primer grado en el parto,o700
O700,D,desgarro perineal de primer grado en el parto,desgarro de 1º grado
O700,D,desgarro perineal de primer grado en el parto,desgarro 1
O700,D,desgarro perineal de primer grado en el parto,desgarro paraclitoriano
O700,D,desgarro perineal de primer grado en el parto,desgarro iº
O700,D,desgarro perineal de primer grado en el parto,desgarro
O700,D,desgarro perineal de primer grado en el parto,desgarro i grado.
O700,D,desgarro perineal de primer grado en el parto,laceraciones grado i
O700,D,desgarro perineal de primer grado en el parto,desgarro i :
O700,D,desgarro perineal de primer grado en el parto,"desgarro i,"
O700,D,desgarro perineal de primer grado en el parto,"desgarro perineal iº ,"
O700,D,desgarro perineal de primer grado en el parto,desgarro i
O700,D,desgarro perineal de primer grado en el parto,desgarro i grado
O700,D,desgarro perineal de primer grado en el parto,"desgarro perineal i,"
O700,D,desgarro perineal de primer grado en el parto,desgarro de labio menor
O700,D,desgarro perineal de primer grado en el parto,desgarro perineal grado i
O700,D,desgarro perineal de primer grado en el parto,desgarro i:
O700,D,desgarro perineal de primer grado en el parto,desgarro de 1er grado
O700,D,desgarro perineal de primer grado en el parto,. desgarro i
O700,D,desgarro perineal de primer grado en el parto,degarro 1
O700,D,desgarro perineal de primer grado en el parto,desgarro 1º
O700,D,desgarro perineal de primer grado en el parto,desgarro tipo i
O700,D,desgarro perineal de primer grado en el parto,desgarro i (
O700,D,desgarro perineal de primer grado en el parto,desgarro vulva
O700,D,desgarro perineal de primer grado en el parto,laceracion paraclitoriana
O700,D,desgarro perineal de primer grado en el parto,"desgarro i,"
O700,D,desgarro perineal de primer grado en el parto,desgarros grado 1
O700,D,desgarro perineal de primer grado en el parto,desgarro iº.
O700,D,desgarro perineal de primer grado en el parto,strip i
O700,D,desgarro perineal de primer grado en el parto,colestasis parto
O700,D,desgarro perineal de primer grado en el parto,: desgarro i
O700,D,desgarro perineal de primer grado en el parto,desgarro i +
O700,D,desgarro perineal de primer grado en el parto,desgarros de 1er grado
O700,D,desgarro perineal de primer grado en el parto,desgarro tipo i
O700,D,desgarro perineal de primer grado en el parto,desgaroo 1 grado
O700,D,desgarro perineal de primer grado en el parto,desgarro perineal iº..
O700,D,desgarro perineal de primer grado en el parto,laceraciones de i grado
O700,D,desgarro perineal de primer grado en el parto,desgarro de primer grado
O700,D,desgarro perineal de primer grado en el parto,desgarro grado 1º
O700,D,desgarro perineal de primer grado en el parto,desgarro i .
O701,D,desgarro perineal de segundo grado en el parto,desgarro de ii
O701,D,desgarro perineal de segundo grado en el parto,desgarro perineal : ii
O701,D,desgarro perineal de segundo grado en el parto,desgarro de ii grado
O701,D,desgarro perineal de segundo grado en el parto,desgarro 2
O701,D,desgarro perineal de segundo grado en el parto,sutura de strip ii
O701,D,desgarro perineal de segundo grado en el parto,desgarro perineal iiº
O701,D,desgarro perineal de segundo grado en el parto,desgarro perineal ii
O701,D,desgarro perineal de segundo grado en el parto,degarro de segundo grado
O701,D,desgarro perineal de segundo grado en el parto,desgarro perineal iiº.
O701,D,desgarro perineal de segundo grado en el parto,desgarros de ii grado
O701,D,desgarro perineal de segundo grado en el parto,desgarro de segundo grado
O701,D,desgarro perineal de segundo grado en el parto,desgarro grado dos
O701,D,desgarro perineal de segundo grado en el parto,desgarro perineal iiº
O701,D,desgarro perineal de segundo grado en el parto,desgarro grado 2
O701,D,desgarro perineal de segundo grado en el parto,esguinc grau 2
O701,D,desgarro perineal de segundo grado en el parto,desgarro 2
O701,D,desgarro perineal de segundo grado en el parto,o70.1
O701,D,desgarro perineal de segundo grado en el parto,desgarro perineal de 2º grado
O701,D,desgarro perineal de segundo grado en el parto,desgarro de ii grado
O701,D,desgarro perineal de segundo grado en el parto,"desgarro perineal iiº,"
O701,D,desgarro perineal de segundo grado en el parto,desgarro vaginal grado ii
O702,D,desgarro perineal de tercer grado en el parto,desgarro perineal de 3º grado
O702,D,desgarro perineal de tercer grado en el parto,desgarro iii grado
O7021,D,"desgarro perineal de tercer grado en el parto, iiia",desgarro grado iiia
O7021,D,"desgarro perineal de tercer grado en el parto, iiia",desgarro perineal iiia
O7021,D,"desgarro perineal de tercer grado en el parto, iiia",desgarro perineal iiia
O7021,D,"desgarro perineal de tercer grado en el parto, iiia",desgarro grado iiia
O7021,D,"desgarro perineal de tercer grado en el parto, iiia",desgarro iiia
O7022,D,"desgarro perineal de tercer grado en el parto, iiib",desgarro iiib
O7022,D,"desgarro perineal de tercer grado en el parto, iiib","desgarro iiib,"
O7022,D,"desgarro perineal de tercer grado en el parto, iiib",desgarro iii-b
O7022,D,"desgarro perineal de tercer grado en el parto, iiib",desgarro iiib
O7022,D,"desgarro perineal de tercer grado en el parto, iiib",desgarro iii b
O7022,D,"desgarro perineal de tercer grado en el parto, iiib",desgarro iii b.
O7022,D,"desgarro perineal de tercer grado en el parto, iiib",desgarro iiib
O7022,D,"desgarro perineal de tercer grado en el parto, iiib",desgarro iiib
O703,D,desgarro perineal de cuarto grado en el parto,desgarro iv
O714,D,"desgarro vaginal obstetrico alto, unico",desgarro en vagina
O714,D,"desgarro vaginal obstetrico alto, unico",desgarro vaginal
O714,D,"desgarro vaginal obstetrico alto, unico",desagarro vaginal
O714,D,"desgarro vaginal obstetrico alto, unico",desgarro vaginal part
O714,D,"desgarro vaginal obstetrico alto, unico",desgarro vagina posparto
O714,D,"desgarro vaginal obstetrico alto, unico",desgarro vagina
O714,D,"desgarro vaginal obstetrico alto, unico",desgarro vaginal
O7181,D,"desgarro del utero, no clasificado bajo otro concepto",desgarro utero
O7182,D,otros traumas especificados al perine y vulva,desgarro periuretral
O7182,D,otros traumas especificados al perine y vulva,laceracion periuretral
O7182,D,otros traumas especificados al perine y vulva,desgarro parauretral
O7182,D,otros traumas especificados al perine y vulva,laceracion parauretral
O7182,D,otros traumas especificados al perine y vulva,laceracion periuretral
O7182,D,otros traumas especificados al perine y vulva,laceracion periuretral
O7182,D,otros traumas especificados al perine y vulva,laceracion parauretral
O7182,D,otros traumas especificados al perine y vulva,laceracion parauretral
O720,D,hemorragia del tercer periodo del parto,retencion de restos placentarios
O721,D,otras hemorragias del posparto inmediato,hemorragia post parto
O721,D,otras hemorragias del posparto inmediato,sangrado posparto
O721,D,otras hemorragias del posparto inmediato,hemorragia postparto
O721,D,otras hemorragias del posparto inmediato,hemorragia postparto
O721,D,otras hemorragias del posparto inmediato,hemorragia posparto
O721,D,otras hemorragias del posparto inmediato,atonia uterina posparto
O721,D,otras hemorragias del posparto inmediato,hemorragia postparto
O721,D,otras hemorragias del posparto inmediato,hemorragia postparto
O721,D,otras hemorragias del posparto inmediato,sangrado puerperio
O721,D,otras hemorragias del posparto inmediato,sangrado posparto
O721,D,otras hemorragias del posparto inmediato,hemorragia post-parto
O721,D,otras hemorragias del posparto inmediato,sangrado pp
O721,D,otras hemorragias del posparto inmediato,sangrado postparto
O721,D,otras hemorragias del posparto inmediato,metrorragia posparto
O721,D,otras hemorragias del posparto inmediato,hemorragia puerperal
O721,D,otras hemorragias del posparto inmediato,hemorragia post parto
O721,D,otras hemorragias del posparto inmediato,hemorragia posparto
O721,D,otras hemorragias del posparto inmediato,hemorragia post-parto
O721,D,otras hemorragias del posparto inmediato,sangrado puerperio
O721,D,otras hemorragias del posparto inmediato,hemorrragia posparto
O721,D,otras hemorragias del posparto inmediato,hemorragia postparto
O721,D,otras hemorragias del posparto inmediato,hemorragia post parto. -
O721,D,otras hemorragias del posparto inmediato,sangrado puerperal
O721,D,otras hemorragias del posparto inmediato,sangrado puerperio
O721,D,otras hemorragias del posparto inmediato,sangrado puerperal
O721,D,otras hemorragias del posparto inmediato,atonia uterina
O721,D,otras hemorragias del posparto inmediato,hemorragia pp
O721,D,otras hemorragias del posparto inmediato,hemorragia puerperal
O721,D,otras hemorragias del posparto inmediato,hpp
O721,D,otras hemorragias del posparto inmediato,sangrado puerperio
O721,D,otras hemorragias del posparto inmediato,atonia uterina
O722,D,hemorragia posparto secundaria y tardia,restos placentarios
O722,D,hemorragia posparto secundaria y tardia,metrorragia puerperal
O722,D,hemorragia posparto secundaria y tardia,metrorragia puerperal
O730,D,placenta retenida sin hemorragia,restos placentarios
O730,D,placenta retenida sin hemorragia,placenta retenida
O730,D,placenta retenida sin hemorragia,extraccion manual de placenta
O730,D,placenta retenida sin hemorragia,retencion placenta
O730,D,placenta retenida sin hemorragia,retencion de placenta
O730,D,placenta retenida sin hemorragia,extraccion manual de placenta
O731,D,"porciones de placenta y membranas retenidas, sin hemorragia",membranas desgarradas
O731,D,"porciones de placenta y membranas retenidas, sin hemorragia",restos puerperales
O731,D,"porciones de placenta y membranas retenidas, sin hemorragia",restos puerperales
O731,D,"porciones de placenta y membranas retenidas, sin hemorragia",retencion de membranas
O731,D,"porciones de placenta y membranas retenidas, sin hemorragia",restos puerperales
O731,D,"porciones de placenta y membranas retenidas, sin hemorragia",membranas desgarradas
O731,D,"porciones de placenta y membranas retenidas, sin hemorragia",retencion de restos postparto
O731,D,"porciones de placenta y membranas retenidas, sin hemorragia",restos puerperales
O745,D,cefalea inducida por anestesia espinal y epidural durante el trabajo de parto y parto,cefalea dural posparto
O745,D,cefalea inducida por anestesia espinal y epidural durante el trabajo de parto y parto,cefalea dural posparto
O745,D,cefalea inducida por anestesia espinal y epidural durante el trabajo de parto y parto,cefalea puncion dural
O745,D,cefalea inducida por anestesia espinal y epidural durante el trabajo de parto y parto,cefalea postpuncion dural
O746,D,otras complicaciones de anestesia espinal y epidural durante el trabajo de parto y parto,puncion dural posparto
O746,D,otras complicaciones de anestesia espinal y epidural durante el trabajo de parto y parto,puncion dural posparto
