Code,D_P,Description,Literal
O660,D,Trabajo de parto obstruido debido a distocia del hombro,Distocia de Hombros
O660,D,Trabajo de parto obstruido debido a distocia del hombro,distocia de hombro
O660,D,Trabajo de parto obstruido debido a distocia del hombro,Distocia de hombros
O660,D,Trabajo de parto obstruido debido a distocia del hombro,DISTOCIA DE HOMBROS
O665,D,Intento de utilización de ventosa y fórceps,Fórceps fallido
O665,D,Intento de utilización de ventosa y fórceps,forceps fallido
O679,D,"Hemorragia intraparto, no especificada",sangrado part
O679,D,"Hemorragia intraparto, no especificada",Metrorragia parto
O679,D,"Hemorragia intraparto, no especificada",metrorragias parto
O690XX0,D,"Trabajo de parto y parto complicados por prolapso del cordón, no aplicable o no especificado",Prolapso de cordón
O691XX0,D,"Trabajo de parto y parto complicados por cordón alrededor del cuello, con compresión, no aplicable o no especificado",Circulares prietas
O691XX0,D,"Trabajo de parto y parto complicados por cordón alrededor del cuello, con compresión, no aplicable o no especificado",circular prieta
O692XX0,D,"Trabajo de parto y parto complicados por otros enredos del cordón, con compresión, no aplicable o no especificado",Nudo verdadero
O693XX0,D,"Trabajo de parto y parto complicados por cordón corto, no aplicable o no especificado","Cordón: Sección Tardía , Características: corto"
O693XX0,D,"Trabajo de parto y parto complicados por cordón corto, no aplicable o no especificado",cordón corto
O693XX0,D,"Trabajo de parto y parto complicados por cordón corto, no aplicable o no especificado",Cordón corto part
O693XX0,D,"Trabajo de parto y parto complicados por cordón corto, no aplicable o no especificado",Cordón corto parto
O693XX0,D,"Trabajo de parto y parto complicados por cordón corto, no aplicable o no especificado",Cordon corto parto
O693XX0,D,"Trabajo de parto y parto complicados por cordón corto, no aplicable o no especificado","Cordón: Sección Tardía , Características Corto"
O693XX0,D,"Trabajo de parto y parto complicados por cordón corto, no aplicable o no especificado",Cordón Corto
O693XX1,D,"Trabajo de parto y parto complicados por cordón corto, feto 1",Cordón umbilical corto
O694XX0,D,"Trabajo de parto y parto complicados por vasa previa, no aplicable o no especificado",vasa previa
O694XX0,D,"Trabajo de parto y parto complicados por vasa previa, no aplicable o no especificado",Vasa previa
O6981X0,D,"Trabajo de parto y parto complicados por cordón alrededor del cuello, sin compresión, no aplicable o no especificado",bandolera
O6981X0,D,"Trabajo de parto y parto complicados por cordón alrededor del cuello, sin compresión, no aplicable o no especificado",Bandolera
O6981X0,D,"Trabajo de parto y parto complicados por cordón alrededor del cuello, sin compresión, no aplicable o no especificado",circular
O6981X0,D,"Trabajo de parto y parto complicados por cordón alrededor del cuello, sin compresión, no aplicable o no especificado",una circulares
O6981X0,D,"Trabajo de parto y parto complicados por cordón alrededor del cuello, sin compresión, no aplicable o no especificado",Circulares
O6981X0,D,"Trabajo de parto y parto complicados por cordón alrededor del cuello, sin compresión, no aplicable o no especificado",vuelta de cordón laxa
O6982X0,D,"Trabajo de parto y parto complicados por otros enredos del cordón, sin compresión, no aplicable o no especificado",circular en mano
O6982X0,D,"Trabajo de parto y parto complicados por otros enredos del cordón, sin compresión, no aplicable o no especificado",Bandolera
O6989X0,D,"Trabajo de parto y parto complicados por otras complicaciones del cordón, no aplicable o no especificado",Cordón Largo
O6989X0,D,"Trabajo de parto y parto complicados por otras complicaciones del cordón, no aplicable o no especificado",Procidencia de mano.
O6989X0,D,"Trabajo de parto y parto complicados por otras complicaciones del cordón, no aplicable o no especificado",cordón largo
O6989X0,D,"Trabajo de parto y parto complicados por otras complicaciones del cordón, no aplicable o no especificado",Arteria umbilical unica
O6989X0,D,"Trabajo de parto y parto complicados por otras complicaciones del cordón, no aplicable o no especificado",procidencia de mano
O6989X0,D,"Trabajo de parto y parto complicados por otras complicaciones del cordón, no aplicable o no especificado",rotura de cordón umbilical
O6989X0,D,"Trabajo de parto y parto complicados por otras complicaciones del cordón, no aplicable o no especificado",Circular
O6989X0,D,"Trabajo de parto y parto complicados por otras complicaciones del cordón, no aplicable o no especificado",ruptura de cordón umbilical
O6989X1,D,"Trabajo de parto y parto complicados por otras complicaciones del cordón, feto 1",Una circular
O700,D,Desgarro perineal de primer grado en el parto,desgarro de 1er grado
O700,D,Desgarro perineal de primer grado en el parto,o700
O700,D,Desgarro perineal de primer grado en el parto,Desgarro de 1º grado
O700,D,Desgarro perineal de primer grado en el parto,Desgarro 1
O700,D,Desgarro perineal de primer grado en el parto,desgarro paraclitoriano
O700,D,Desgarro perineal de primer grado en el parto,Desgarro Iº
O700,D,Desgarro perineal de primer grado en el parto,Desgarro
O700,D,Desgarro perineal de primer grado en el parto,desgarro I grado.
O700,D,Desgarro perineal de primer grado en el parto,laceraciones grado I
O700,D,Desgarro perineal de primer grado en el parto,Desgarro I :
O700,D,Desgarro perineal de primer grado en el parto,"desgarro I,"
O700,D,Desgarro perineal de primer grado en el parto,"Desgarro perineal Iº ,"
O700,D,Desgarro perineal de primer grado en el parto,desgarro I
O700,D,Desgarro perineal de primer grado en el parto,desgarro I grado
O700,D,Desgarro perineal de primer grado en el parto,"Desgarro perineal I,"
O700,D,Desgarro perineal de primer grado en el parto,desgarro de labio menor
O700,D,Desgarro perineal de primer grado en el parto,Desgarro perineal grado I
O700,D,Desgarro perineal de primer grado en el parto,Desgarro I:
O700,D,Desgarro perineal de primer grado en el parto,Desgarro de 1er grado
O700,D,Desgarro perineal de primer grado en el parto,. Desgarro I
O700,D,Desgarro perineal de primer grado en el parto,degarro 1
O700,D,Desgarro perineal de primer grado en el parto,desgarro 1º
O700,D,Desgarro perineal de primer grado en el parto,Desgarro tipo I
O700,D,Desgarro perineal de primer grado en el parto,Desgarro I (
O700,D,Desgarro perineal de primer grado en el parto,desgarro vulva
O700,D,Desgarro perineal de primer grado en el parto,laceracion paraclitoriana
O700,D,Desgarro perineal de primer grado en el parto,"Desgarro I,"
O700,D,Desgarro perineal de primer grado en el parto,desgarros grado 1
O700,D,Desgarro perineal de primer grado en el parto,desgarro Iº.
O700,D,Desgarro perineal de primer grado en el parto,strip I
O700,D,Desgarro perineal de primer grado en el parto,colestasis parto
O700,D,Desgarro perineal de primer grado en el parto,: Desgarro I
O700,D,Desgarro perineal de primer grado en el parto,Desgarro I +
O700,D,Desgarro perineal de primer grado en el parto,desgarros de 1er grado
O700,D,Desgarro perineal de primer grado en el parto,desgarro tipo I
O700,D,Desgarro perineal de primer grado en el parto,desgaroo 1 grado
O700,D,Desgarro perineal de primer grado en el parto,Desgarro perineal Iº..
O700,D,Desgarro perineal de primer grado en el parto,Laceraciones de I grado
O700,D,Desgarro perineal de primer grado en el parto,desgarro de primer grado
O700,D,Desgarro perineal de primer grado en el parto,desgarro grado 1º
O700,D,Desgarro perineal de primer grado en el parto,Desgarro I .
O701,D,Desgarro perineal de segundo grado en el parto,desgarro de II
O701,D,Desgarro perineal de segundo grado en el parto,Desgarro perineal : II
O701,D,Desgarro perineal de segundo grado en el parto,Desgarro de II grado
O701,D,Desgarro perineal de segundo grado en el parto,desgarro 2
O701,D,Desgarro perineal de segundo grado en el parto,Sutura de strip II
O701,D,Desgarro perineal de segundo grado en el parto,Desgarro Perineal IIº
O701,D,Desgarro perineal de segundo grado en el parto,Desgarro perineal II
O701,D,Desgarro perineal de segundo grado en el parto,degarro de segundo grado
O701,D,Desgarro perineal de segundo grado en el parto,Desgarro perineal IIº.
O701,D,Desgarro perineal de segundo grado en el parto,Desgarros de II grado
O701,D,Desgarro perineal de segundo grado en el parto,desgarro de segundo grado
O701,D,Desgarro perineal de segundo grado en el parto,desgarro grado dos
O701,D,Desgarro perineal de segundo grado en el parto,Desgarro perineal IIº
O701,D,Desgarro perineal de segundo grado en el parto,desgarro grado 2
O701,D,Desgarro perineal de segundo grado en el parto,esguinç grau 2
O701,D,Desgarro perineal de segundo grado en el parto,Desgarro 2
O701,D,Desgarro perineal de segundo grado en el parto,o70.1
O701,D,Desgarro perineal de segundo grado en el parto,Desgarro perineal de 2º grado
O701,D,Desgarro perineal de segundo grado en el parto,desgarro de II grado
O701,D,Desgarro perineal de segundo grado en el parto,"Desgarro perineal IIº,"
O701,D,Desgarro perineal de segundo grado en el parto,Desgarro vaginal grado II
O702,D,Desgarro perineal de tercer grado en el parto,Desgarro perineal de 3º grado
O702,D,Desgarro perineal de tercer grado en el parto,Desgarro III grado
O7021,D,"Desgarro perineal de tercer grado en el parto, IIIa",desgarro grado IIIa
O7021,D,"Desgarro perineal de tercer grado en el parto, IIIa",Desgarro perineal IIIA
O7021,D,"Desgarro perineal de tercer grado en el parto, IIIa",Desgarro perineal IIIa
O7021,D,"Desgarro perineal de tercer grado en el parto, IIIa",desgarro grado IIIA
O7021,D,"Desgarro perineal de tercer grado en el parto, IIIa",Desgarro IIIA
O7022,D,"Desgarro perineal de tercer grado en el parto, IIIb",Desgarro IIIb
O7022,D,"Desgarro perineal de tercer grado en el parto, IIIb","Desgarro IIIb,"
O7022,D,"Desgarro perineal de tercer grado en el parto, IIIb",Desgarro III-B
O7022,D,"Desgarro perineal de tercer grado en el parto, IIIb",Desgarro IIIB
O7022,D,"Desgarro perineal de tercer grado en el parto, IIIb",Desgarro III B
O7022,D,"Desgarro perineal de tercer grado en el parto, IIIb",Desgarro III b.
O7022,D,"Desgarro perineal de tercer grado en el parto, IIIb",desgarro IIIB
O7022,D,"Desgarro perineal de tercer grado en el parto, IIIb",desgarro IIIb
O703,D,Desgarro perineal de cuarto grado en el parto,Desgarro IV
O714,D,"Desgarro vaginal obstétrico alto, único",desgarro en vagina
O714,D,"Desgarro vaginal obstétrico alto, único",desgarro vaginal
O714,D,"Desgarro vaginal obstétrico alto, único",desagarro vaginal
O714,D,"Desgarro vaginal obstétrico alto, único",desgarro vaginal part
O714,D,"Desgarro vaginal obstétrico alto, único",desgarro vagina posparto
O714,D,"Desgarro vaginal obstétrico alto, único",desgarro vagina
O714,D,"Desgarro vaginal obstétrico alto, único",DESGARRO VAGINAL
O7181,D,"Desgarro del útero, no clasificado bajo otro concepto",desgarro utero
O7182,D,Otros traumas especificados al periné y vulva,desgarro periuretral
O7182,D,Otros traumas especificados al periné y vulva,laceración periuretral
O7182,D,Otros traumas especificados al periné y vulva,desgarro parauretral
O7182,D,Otros traumas especificados al periné y vulva,laceración parauretral
O7182,D,Otros traumas especificados al periné y vulva,Laceracion periuretral
O7182,D,Otros traumas especificados al periné y vulva,laceracion periuretral
O7182,D,Otros traumas especificados al periné y vulva,Laceración parauretral
O7182,D,Otros traumas especificados al periné y vulva,laceracion parauretral
O720,D,Hemorragia del tercer período del parto,retención de restos placentarios
O721,D,Otras hemorragias del posparto inmediato,Hemorragia post parto
O721,D,Otras hemorragias del posparto inmediato,sangrado posparto
O721,D,Otras hemorragias del posparto inmediato,hemorragia postparto
O721,D,Otras hemorragias del posparto inmediato,Hemorragia postparto
O721,D,Otras hemorragias del posparto inmediato,Hemorragia posparto
O721,D,Otras hemorragias del posparto inmediato,Atonía uterina posparto
O721,D,Otras hemorragias del posparto inmediato,Hemorragia Postparto
O721,D,Otras hemorragias del posparto inmediato,HEMORRAGIA POSTPARTO
O721,D,Otras hemorragias del posparto inmediato,Sangrado Puerperio
O721,D,Otras hemorragias del posparto inmediato,Sangrado posparto
O721,D,Otras hemorragias del posparto inmediato,Hemorragia post-parto
O721,D,Otras hemorragias del posparto inmediato,sangrado pp
O721,D,Otras hemorragias del posparto inmediato,Sangrado postparto
O721,D,Otras hemorragias del posparto inmediato,metrorragia posparto
O721,D,Otras hemorragias del posparto inmediato,Hemorragia puerperal
O721,D,Otras hemorragias del posparto inmediato,hemorragia post parto
O721,D,Otras hemorragias del posparto inmediato,hemorragia pospARTO
O721,D,Otras hemorragias del posparto inmediato,hemorragia post-parto
O721,D,Otras hemorragias del posparto inmediato,sangrado PUERPERIo
O721,D,Otras hemorragias del posparto inmediato,Hemorrragia posparto
O721,D,Otras hemorragias del posparto inmediato,Hemorragía postparto
O721,D,Otras hemorragias del posparto inmediato,HEMORRAGIA POST PARTO. -
O721,D,Otras hemorragias del posparto inmediato,sangrado puerperal
O721,D,Otras hemorragias del posparto inmediato,Sangrado PUERPERIO
O721,D,Otras hemorragias del posparto inmediato,SANGRADO PUERPERAL
O721,D,Otras hemorragias del posparto inmediato,Atonía uterina
O721,D,Otras hemorragias del posparto inmediato,hemorragia pp
O721,D,Otras hemorragias del posparto inmediato,hemorragia puerperal
O721,D,Otras hemorragias del posparto inmediato,hpp
O721,D,Otras hemorragias del posparto inmediato,sangrado PUERPERIO
O721,D,Otras hemorragias del posparto inmediato,ATONIA UTERINA
O722,D,Hemorragia posparto secundaria y tardía,RESTOS PLACENTARIOS
O722,D,Hemorragia posparto secundaria y tardía,Metrorragia puerperal
O722,D,Hemorragia posparto secundaria y tardía,metrorragia puerperal
O730,D,Placenta retenida sin hemorragia,restos placentarios
O730,D,Placenta retenida sin hemorragia,placenta retenida
O730,D,Placenta retenida sin hemorragia,extracción manual de placenta
O730,D,Placenta retenida sin hemorragia,Retencion placenta
O730,D,Placenta retenida sin hemorragia,retención de placenta
O730,D,Placenta retenida sin hemorragia,Extracción manual de placenta
O731,D,"Porciones de placenta y membranas retenidas, sin hemorragia",Membranas desgarradas
O731,D,"Porciones de placenta y membranas retenidas, sin hemorragia",RESTOS PUERPERALES
O731,D,"Porciones de placenta y membranas retenidas, sin hemorragia",Restos puerperales
O731,D,"Porciones de placenta y membranas retenidas, sin hemorragia",Retención de membranas
O731,D,"Porciones de placenta y membranas retenidas, sin hemorragia",Restos Puerperales
O731,D,"Porciones de placenta y membranas retenidas, sin hemorragia",membranas desgarradas
O731,D,"Porciones de placenta y membranas retenidas, sin hemorragia",Retencion de restos postparto
O731,D,"Porciones de placenta y membranas retenidas, sin hemorragia",restos puerperales
O745,D,Cefalea inducida por anestesia espinal y epidural durante el trabajo de parto y parto,Cefalea dural posparto
O745,D,Cefalea inducida por anestesia espinal y epidural durante el trabajo de parto y parto,cefalea dural posparto
O745,D,Cefalea inducida por anestesia espinal y epidural durante el trabajo de parto y parto,cefalea punción dural
O745,D,Cefalea inducida por anestesia espinal y epidural durante el trabajo de parto y parto,Cefalea postpunción dural
O746,D,Otras complicaciones de anestesia espinal y epidural durante el trabajo de parto y parto,punción dural posparto
O746,D,Otras complicaciones de anestesia espinal y epidural durante el trabajo de parto y parto,puncion dural posparto
O746,D,Otras complicaciones de anestesia espinal y epidural durante el trabajo de parto y parto,Punción dural posparto
O746,D,Otras complicaciones de anestesia espinal y epidural durante el trabajo de parto y parto,hipotiroidismo part
O752,D,"Pirexia durante el trabajo de parto, no clasificada bajo otro concepto",Fiebre intraparto
O752,D,"Pirexia durante el trabajo de parto, no clasificada bajo otro concepto",febrícula intraparto
O752,D,"Pirexia durante el trabajo de parto, no clasificada bajo otro concepto",fiebre materna
O752,D,"Pirexia durante el trabajo de parto, no clasificada bajo otro concepto",Fiebre parto
O752,D,"Pirexia durante el trabajo de parto, no clasificada bajo otro concepto",febril parto
O752,D,"Pirexia durante el trabajo de parto, no clasificada bajo otro concepto",fiebre intraparto
O752,D,"Pirexia durante el trabajo de parto, no clasificada bajo otro concepto",fiebre parto
O752,D,"Pirexia durante el trabajo de parto, no clasificada bajo otro concepto",Febrícula intraparto
O7581,D,Agotamiento materno que complica el trabajo de parto y parto,agotamiento materno
O7589,D,Otras complicaciones especificadas del trabajo de parto y parto,Atonía uterina posparto
O7589,D,Otras complicaciones especificadas del trabajo de parto y parto,atonia uterina posparto
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,o76
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,bradicardia de expulsivo
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,NST
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,deceleraciones
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,RCTG pocotranquilizador
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,taquicardia fetal
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,registro poco tranquilizador
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,Taquicardia fetal
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,NST no tranquilizador
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,Bradicardia fetal
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,RCTG : no tranquilizador
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,TNS no tranquilizador
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,RCTG notranquilizador
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,registro cardiotocográfico no tranquilizador
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,RCTG poco tranquilizador
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,NST) sospechoso
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,bradicardia fetal
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,RCTG no tranquilizador
O76,D,Anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,NST patológico
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,color: teñidO
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,líquido teñido
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,color: teñido
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,aguas meconiales
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,", color: teñido"
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,color: sanguinolento
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,líquido amniótico teñido
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,color: TEÑIDO
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,color : sanguinolento
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,color: sangui
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,LIQUIDO TEÑIDO
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,líquido meconial
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,"??? , color: teñido"
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,color: teñido +
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,Liquido teñido
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,liquido meconial
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,color: teñido +++
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,color: teñido ++
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,LA teñido
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,meconio
O770,D,Trabajo de parto y parto complicados por meconio en el líquido amniótico,Aguas teñidas
O80,D,Admisión para el parto a término no complicado,PARTO
O80,D,Admisión para el parto a término no complicado,parto
O80,D,Admisión para el parto a término no complicado,part
O80,D,Admisión para el parto a término no complicado,Parto
O80,D,Admisión para el parto a término no complicado,PART
O82,D,Admisión por parto por cesárea sin indicación,cesarea
O82,D,Admisión por parto por cesárea sin indicación,Cesárea
O85,D,Sepsis puerperal,Septicemia puerperal
O8600,D,"Infección de herida quirúrgica obstétrica, sin especificar",infección de herida quirúrgica de cesárea
O8612,D,Endometritis después del parto,Endometritis puerperal
O8629,D,Otras infecciones del tracto urinario después del parto,ITU en puerperio
O8629,D,Otras infecciones del tracto urinario después del parto,Puerperio - ITU
O8629,D,Otras infecciones del tracto urinario después del parto,itu puerperal
O864,D,Pirexia de origen desconocido después del parto,Fiebre posparto
O864,D,Pirexia de origen desconocido después del parto,Fiebre en puerperio
O864,D,Pirexia de origen desconocido después del parto,Fiebre postparto
O864,D,Pirexia de origen desconocido después del parto,FIEBRE PUERPERAL
O864,D,Pirexia de origen desconocido después del parto,febril postparto
O864,D,Pirexia de origen desconocido después del parto,fiebre puerperal
O8689,D,Otras infecciones puerperales especificadas,Bacteriemia posparto
O872,D,Hemorroides en el puerperio,Hemorroides puerperal
O872,D,Hemorroides en el puerperio,hemorroides pp
O872,D,Hemorroides en el puerperio,hemorroides PUERPERIO
O872,D,Hemorroides en el puerperio,Hemorroides pp
O872,D,Hemorroides en el puerperio,Hemorroide pp
O901,D,Disrupción de herida perineal obstétrica,Dehiscencia de episiorrafia
O901,D,Disrupción de herida perineal obstétrica,dehiscencia episiotomia
O902,D,Hematoma de herida obstétrica,HEMATOMA EPISIOTOMIA
O902,D,Hematoma de herida obstétrica,seroma en cicatriz de cesarea
O902,D,Hematoma de herida obstétrica,seroma cesarea
O9081,D,Anemia puerperal,Anemia pueperio
O9081,D,Anemia puerperal,anemia pp
O9081,D,Anemia puerperal,Anemia puerperal
O9081,D,Anemia puerperal,ANEMIA PP
O9081,D,Anemia puerperal,anemai pp
O9081,D,Anemia puerperal,Anemia puerperio
O9081,D,Anemia puerperal,Anemia postparto
O9081,D,Anemia puerperal,anemia postparto
O9081,D,Anemia puerperal,anemia posparto
O9089,D,Otras complicaciones del puerperio no clasificadas bajo otro concepto,RAO posparto
O9089,D,Otras complicaciones del puerperio no clasificadas bajo otro concepto,enf puerperal
O9089,D,Otras complicaciones del puerperio no clasificadas bajo otro concepto,rao postparto
O9089,D,Otras complicaciones del puerperio no clasificadas bajo otro concepto,rao posparto
O9122,D,Mastitis no purulenta asociada con el puerperio,mastitis pueperal
O9122,D,Mastitis no purulenta asociada con el puerperio,Mastitis aguda puerperal
O9122,D,Mastitis no purulenta asociada con el puerperio,mastitis puerperal
O925,D,Lactancia suprimida,Lactancia Artificial
O925,D,Lactancia suprimida,inhibicion de lactanica
O925,D,Lactancia suprimida,LACTANCIA ARTIFICIAL
O925,D,Lactancia suprimida,inhibicion de lactancia
O925,D,Lactancia suprimida,Inhibición de la lactancia
O925,D,Lactancia suprimida,inhibicion lactancia
O925,D,Lactancia suprimida,cabergolina
O925,D,Lactancia suprimida,Inhibicion de la lactancia
O925,D,Lactancia suprimida,interrupción de lactancia
O925,D,Lactancia suprimida,No desea lactancia materna
O925,D,Lactancia suprimida,no desea Lactancia
O925,D,Lactancia suprimida,Lactancia artificial
O925,D,Lactancia suprimida,lactancia ARTIFICIAL
O925,D,Lactancia suprimida,Inhibición de lactancia
O925,D,Lactancia suprimida,inhibir lactancia
O9832,D,Otras infecciones con un modo de transmisión predominantemente sexual que complican el parto,HPV parto
O9832,D,Otras infecciones con un modo de transmisión predominantemente sexual que complican el parto,Herpes Zoster parto
O9832,D,Otras infecciones con un modo de transmisión predominantemente sexual que complican el parto,herpes genital parto
O9832,D,Otras infecciones con un modo de transmisión predominantemente sexual que complican el parto,Herpes genital parto
O9832,D,Otras infecciones con un modo de transmisión predominantemente sexual que complican el parto,Herpes genital part
O9832,D,Otras infecciones con un modo de transmisión predominantemente sexual que complican el parto,hipotiroidismo parto
O9832,D,Otras infecciones con un modo de transmisión predominantemente sexual que complican el parto,Herpes Genital parto
O9832,D,Otras infecciones con un modo de transmisión predominantemente sexual que complican el parto,condilomas parto
O98413,D,"Hepatitis viral que complica el embarazo, tercer trimestre",Hepatitis B parto
O9842,D,Hepatitis viral que complica el parto,VHB part
O9842,D,Hepatitis viral que complica el parto,Hepatitis B parto
O9842,D,Hepatitis viral que complica el parto,VHB parto
O9842,D,Hepatitis viral que complica el parto,VHC parto
O9842,D,Hepatitis viral que complica el parto,Hepatitis C parto
O9842,D,Hepatitis viral que complica el parto,hepatitis B part
O9842,D,Hepatitis viral que complica el parto,Hepatitis B part
O9842,D,Hepatitis viral que complica el parto,vhc parto
O9842,D,Hepatitis viral que complica el parto,vhb parto
O9852,D,Otras enfermedades virales que complican el parto,fumadora part
O9852,D,Otras enfermedades virales que complican el parto,Rubeola NO inmune
O9852,D,Otras enfermedades virales que complican el parto,COVID part
O9852,D,Otras enfermedades virales que complican el parto,vhb parto
O9852,D,Otras enfermedades virales que complican el parto,Obesidad part
O9852,D,Otras enfermedades virales que complican el parto,Rubeola NEGATIVO
O9852,D,Otras enfermedades virales que complican el parto,Rubéola: NO INMUNE
O9852,D,Otras enfermedades virales que complican el parto,COVID PARTO
O9852,D,Otras enfermedades virales que complican el parto,VHB parto
O9852,D,Otras enfermedades virales que complican el parto,COVid parto
O9852,D,Otras enfermedades virales que complican el parto,rubeola no inmune
O9852,D,Otras enfermedades virales que complican el parto,rubeola NO inmune
O9852,D,Otras enfermedades virales que complican el parto,covid parto
O9852,D,Otras enfermedades virales que complican el parto,Rubéola NO inmune
O9852,D,Otras enfermedades virales que complican el parto,Escoliosis parto
O9852,D,Otras enfermedades virales que complican el parto,Neumonía COVID parto
O9852,D,Otras enfermedades virales que complican el parto,Rubeola Negativa
O9852,D,Otras enfermedades virales que complican el parto,Covid part
O9852,D,Otras enfermedades virales que complican el parto,RUBEOLA NEGATIVO
O9852,D,Otras enfermedades virales que complican el parto,vph part
O9852,D,Otras enfermedades virales que complican el parto,rubéola no inmune
O9852,D,Otras enfermedades virales que complican el parto,cmv parto
O9852,D,Otras enfermedades virales que complican el parto,VPH part
O9852,D,Otras enfermedades virales que complican el parto,rubeola No inmune
O9852,D,Otras enfermedades virales que complican el parto,Rubéola: no inmune
O9852,D,Otras enfermedades virales que complican el parto,COVID19 parto
O9852,D,Otras enfermedades virales que complican el parto,HPV parto
O9852,D,Otras enfermedades virales que complican el parto,Hipotiroidismo parto
O9852,D,Otras enfermedades virales que complican el parto,Rúbeola NO inmune
O9852,D,Otras enfermedades virales que complican el parto,covid PARTO
O9852,D,Otras enfermedades virales que complican el parto,Covid parto
O9852,D,Otras enfermedades virales que complican el parto,rubeola NO INMune
O9852,D,Otras enfermedades virales que complican el parto,CMV parto
O9852,D,Otras enfermedades virales que complican el parto,Neumonia COVID parto
O9852,D,Otras enfermedades virales que complican el parto,HPV PARTO
O9852,D,Otras enfermedades virales que complican el parto,Covid Parto
O9852,D,Otras enfermedades virales que complican el parto,RUBEOLA NO INMUNE
O9852,D,Otras enfermedades virales que complican el parto,Rubéola no inmune
O9852,D,Otras enfermedades virales que complican el parto,HPV part
O9852,D,Otras enfermedades virales que complican el parto,Rubeola NO INMUNE .
O9852,D,Otras enfermedades virales que complican el parto,Rubeola: Negativo
O9852,D,Otras enfermedades virales que complican el parto,Zika parto
O9862,D,Enfermedades por protozoos que complican el parto,Chagas part
O9872,D,Enfermedad por virus de la inmunodeficiencia humana [VIH] que complica el parto,VIH parto
O9872,D,Enfermedad por virus de la inmunodeficiencia humana [VIH] que complica el parto,VIH+ part
O9872,D,Enfermedad por virus de la inmunodeficiencia humana [VIH] que complica el parto,VIH part
O98812,D,"Otras enfermedades infecciosas y parasitarias maternas que complican el embarazo, segundo trimestre",candidiasis vaginal 2t
O98813,D,"Otras enfermedades infecciosas y parasitarias maternas que complican el embarazo, tercer trimestre",Candidiasis vaginal 3t
O9882,D,Otras enfermedades infecciosas y parasitarias maternas que complican el parto,Cándidiasis vaginal parto
O99012,D,"Anemia que complica el embarazo, segundo trimestre",Anemia 2t
O99012,D,"Anemia que complica el embarazo, segundo trimestre",anèmia 2t
O99013,D,"Anemia que complica el embarazo, tercer trimestre",HIPOTIROIDISMO 3T
O99013,D,"Anemia que complica el embarazo, tercer trimestre",anemia 3t
O99013,D,"Anemia que complica el embarazo, tercer trimestre",Anemia 3t
O9902,D,Anemia que complica el parto,anemia parto
